VARIABLES = "y","u'u'","v'v'","w'w'"
ZONE T="SA, X=0.97008"
 1.419442124E-03 2.807172947E-03 2.802194562E-03 2.804692602E-03
 1.463404740E-03 2.803911455E-03 2.798759844E-03 2.801344730E-03
 1.508728717E-03 2.800445305E-03 2.795114648E-03 2.797789406E-03
 1.555456314E-03 2.796766581E-03 2.791251522E-03 2.794018947E-03
 1.603630953E-03 2.792866901E-03 2.787160920E-03 2.790024271E-03
 1.653297455E-03 2.788736718E-03 2.782833995E-03 2.785796067E-03
 1.704502036E-03 2.784366254E-03 2.778260270E-03 2.781324554E-03
 1.757292310E-03 2.779745497E-03 2.773429966E-03 2.776599256E-03
 1.811717520E-03 2.774863504E-03 2.768331673E-03 2.771609696E-03
 1.867828076E-03 2.769708633E-03 2.762953984E-03 2.766343998E-03
 1.925676246E-03 2.764269011E-03 2.757284325E-03 2.760789823E-03
 1.985315932E-03 2.758531598E-03 2.751309890E-03 2.754934365E-03
 2.046802780E-03 2.752482658E-03 2.745016944E-03 2.748764120E-03
 2.110193484E-03 2.746108221E-03 2.738391282E-03 2.742264653E-03
 2.175547648E-03 2.739392454E-03 2.731416840E-03 2.735420130E-03
 2.242925344E-03 2.732319757E-03 2.724077785E-03 2.728214720E-03
 2.312389901E-03 2.724873135E-03 2.716357354E-03 2.720631892E-03
 2.384005813E-03 2.717034658E-03 2.708237385E-03 2.712653251E-03
 2.457839437E-03 2.708785236E-03 2.699698787E-03 2.704260172E-03
 2.533959458E-03 2.700105309E-03 2.690721769E-03 2.695432398E-03
 2.612437122E-03 2.690973459E-03 2.681285143E-03 2.686148975E-03
 2.693345072E-03 2.681368031E-03 2.671366790E-03 2.676387783E-03
 2.776758745E-03 2.671264810E-03 2.660942962E-03 2.666125074E-03
 2.862755442E-03 2.660639817E-03 2.649989678E-03 2.655336866E-03
 2.951415488E-03 2.649466973E-03 2.638480626E-03 2.643996850E-03
 3.042821307E-03 2.637718571E-03 2.626388567E-03 2.632077551E-03
 3.137057880E-03 2.625365974E-03 2.613684628E-03 2.619550098E-03
 3.234212985E-03 2.612378681E-03 2.600338776E-03 2.606384456E-03
 3.334376728E-03 2.598725026E-03 2.586319344E-03 2.592548961E-03
 3.437642707E-03 2.584371250E-03 2.571592806E-03 2.578009851E-03
 3.544106614E-03 2.569281496E-03 2.556123771E-03 2.562731504E-03
 3.653867636E-03 2.553419676E-03 2.539876383E-03 2.546678064E-03
 3.767027752E-03 2.536745276E-03 2.522811061E-03 2.529809251E-03
 3.883692669E-03 2.519218251E-03 2.504887525E-03 2.512085252E-03
 4.003970418E-03 2.500795294E-03 2.486063400E-03 2.493462758E-03
 4.127973225E-03 2.481431002E-03 2.466293750E-03 2.473897068E-03
 4.255816340E-03 2.461078344E-03 2.445532707E-03 2.453341382E-03
 4.387618508E-03 2.439687261E-03 2.423730912E-03 2.431746339E-03
 4.523502663E-03 2.417206531E-03 2.400837839E-03 2.409060718E-03
 4.663594998E-03 2.393581672E-03 2.376800403E-03 2.385230735E-03
 4.808025900E-03 2.368755639E-03 2.351562725E-03 2.360200509E-03
 4.956929944E-03 2.342669759E-03 2.325067064E-03 2.333910903E-03
 5.110444967E-03 2.315262798E-03 2.297254279E-03 2.306302544E-03
 5.268714856E-03 2.286470262E-03 2.268061507E-03 2.277311170E-03
 5.431886297E-03 2.256226726E-03 2.237424720E-03 2.246872522E-03
 5.600110628E-03 2.224463038E-03 2.205277095E-03 2.214918146E-03
 5.773545243E-03 2.191108884E-03 2.171550412E-03 2.181379357E-03
 5.952350795E-03 2.156091388E-03 2.136174589E-03 2.146183979E-03
 6.136693992E-03 2.119335812E-03 2.099077217E-03 2.109259134E-03
 6.326746196E-03 2.080766484E-03 2.060185652E-03 2.070529852E-03
 6.522683892E-03 2.040305408E-03 2.019425156E-03 2.029920463E-03
 6.724690087E-03 1.997874584E-03 1.976720989E-03 1.987354364E-03
