Experimental data for Smits, Young, Bradshaw - JFM 94(2):209-242, 1979
Convex wall (30 deg turn)
*TENTATIVE CORRECTION FILE* November 2012

Note that some inconsistencies were discovered in the experimental data 
as posted from Oct 30, 1981, in comparison with JFM (1979).  The data were 
revisited with the help of the original author (Lex Smits) during 
Oct-Nov 2012. The corrected data appear below.  (Note that higher-order
moments were NOT looked at; it is unknown whether those posted data are
valid or not.)

In particular:
  (1) the reference velocity (Uref) (at a point just prior to the end 
      of the upstream contraction) = 31.9 m/s
  (2) local Ue and delta values were posted incorrectly

Note that "s" given in the following files are streamwise lengths along the
convex wall, with s=0 at the end of the curve; "d" is distance across
the channel from the convex wall (normal to the wall).
Similarly, the u, uu, vv, and uv values in the experimental data
are aligned with the local wall directions.

If one aligns the downstream channel with the x-axis (with x=0 y=0
at the end of the curve on the convex wall), then no translations are
necessary when comparing CFD with the downstream data (s>=0).  
However, the upstream channel will be canted at a 30 deg angle relative 
to the x-axis.  To translate upstream s to (absolute) x:
  if s<-0.066497, then x=-0.0635+[(s+0.0665)*cos(30)]
    0.5321999E-02    0.5697994E+01    0.2316908E+01   -0.1749895E+01
    0.6519461E-02    0.5645694E+01    0.2253506E+01   -0.1743095E+01
    0.8781288E-02    0.4967197E+01    0.2028206E+01   -0.1553396E+01
    0.1069722E-01    0.4358295E+01    0.1742907E+01   -0.1353297E+01
    0.1295908E-01    0.3031395E+01    0.1290404E+01   -0.9637472E+00
    0.1519430E-01    0.1830695E+01    0.8508331E+00   -0.5801179E+00
    0.1713684E-01    0.1231400E+01    0.6044115E+00   -0.3918197E+00
    0.1937209E-01    0.8043062E+00    0.4096603E+00   -0.2535493E+00
    0.2163394E-01    0.4601788E+00    0.2819202E+00   -0.1343504E+00
    0.2482713E-01    0.1392701E+00    0.1365203E+00   -0.3054924E-01
    0.2868558E-01    0.4053194E-01    0.4827102E-01   -0.1341400E-02
 zone, t="exp, s= 0.635m"
    0.2993700E-02    0.6196599E+01    0.2000908E+01   -0.1498996E+01
    0.4167702E-02    0.5888597E+01    0.2067608E+01   -0.1551396E+01
    0.5312349E-02    0.6109096E+01    0.2133407E+01   -0.1677296E+01
    0.6545060E-02    0.5849198E+01    0.2110507E+01   -0.1643996E+01
    0.8775650E-02    0.5341198E+01    0.2092608E+01   -0.1607996E+01
    0.1071275E-01    0.5136201E+01    0.2024008E+01   -0.1579697E+01
    0.1294334E-01    0.4589700E+01    0.1825307E+01   -0.1459797E+01
    0.1520330E-01    0.3947300E+01    0.1585606E+01   -0.1214498E+01
    0.1714040E-01    0.3300702E+01    0.1294105E+01   -0.1004198E+01
    0.1937102E-01    0.2468799E+01    0.1008502E+01   -0.7605379E+00
    0.2163095E-01    0.1563996E+01    0.6752327E+00   -0.4519784E+00
    0.2483010E-01    0.5754091E+00    0.3373316E+00   -0.1694991E+00
    0.2870430E-01    0.1101801E+00    0.1230203E+00   -0.2514752E-01
    0.3190345E-01    0.4051296E-01    0.4988704E-01   -0.3771592E-02
 zone, t="exp, s= 1.250m"
    0.3014560E-02    0.7790893E+01    0.2112296E+01   -0.1734200E+01
    0.4285759E-02    0.7290093E+01    0.2079196E+01   -0.1600300E+01
    0.5556958E-02    0.7044594E+01    0.2145897E+01   -0.1710301E+01
    0.7191361E-02    0.6456802E+01    0.2149096E+01   -0.1623901E+01
    0.9116304E-02    0.6145597E+01    0.2128797E+01   -0.1652001E+01
    0.1133184E-01    0.5867803E+01    0.2138897E+01   -0.1670201E+01
    0.1358366E-01    0.5245400E+01    0.1984096E+01   -0.1506801E+01
    0.1616241E-01    0.4860298E+01    0.1848997E+01   -0.1441901E+01
    0.1881376E-01    0.4191799E+01    0.1661097E+01   -0.1231001E+01
    0.2131982E-01    0.3545096E+01    0.1446198E+01   -0.1057501E+01
    0.2418913E-01    0.2782596E+01    0.1182698E+01   -0.8280398E+00
    0.2803904E-01    0.1715596E+01    0.7460891E+00   -0.4511896E+00
    0.3188896E-01    0.7492689E+00    0.4310188E+00   -0.2104403E+00
    0.3573888E-01    0.1992294E+00    0.1921500E+00   -0.4963695E-01
