VARIABLES = "X"
"Y"
"Mu_tOverMu_inf"
ZONE T="CFL3D x=29.2468"
 2.924684143E+01 3.864952087E+00 7.460659370E-03
 2.924684143E+01 3.962231159E+00 7.460633758E-03
 2.924684143E+01 4.062819004E+00 7.460608147E-03
 2.924684334E+01 4.166828156E+00 7.460582536E-03
 2.924684334E+01 4.274375916E+00 7.460557390E-03
 2.924684334E+01 4.385583878E+00 7.460532710E-03
 2.924684334E+01 4.500577450E+00 7.460507564E-03
 2.924684525E+01 4.619486809E+00 7.460482884E-03
 2.924684525E+01 4.742445469E+00 7.460458670E-03
 2.924684525E+01 4.869592667E+00 7.460434455E-03
 2.924684525E+01 5.001072884E+00 7.460410241E-03
 2.924684715E+01 5.137034893E+00 7.460386027E-03
 2.924684715E+01 5.277632236E+00 7.460361812E-03
 2.924684715E+01 5.423024654E+00 7.460338064E-03
 2.924684715E+01 5.573377132E+00 7.460314315E-03
 2.924684906E+01 5.728860378E+00 7.460290566E-03
 2.924684906E+01 5.889651299E+00 7.460266817E-03
 2.924684906E+01 6.055932522E+00 7.460242603E-03
 2.924685097E+01 6.227894306E+00 7.460218389E-03
 2.924685097E+01 6.405731678E+00 7.460194640E-03
 2.924685097E+01 6.589647770E+00 7.460170425E-03
 2.924685287E+01 6.779852867E+00 7.460146211E-03
 2.924685287E+01 6.976564407E+00 7.460121997E-03
 2.924685287E+01 7.180006981E+00 7.460097317E-03
 2.924685478E+01 7.390414238E+00 7.460072171E-03
 2.924685478E+01 7.608026981E+00 7.460047491E-03
 2.924685669E+01 7.833095074E+00 7.460022345E-03
 2.924685669E+01 8.065877914E+00 7.459996734E-03
 2.924685669E+01 8.306641579E+00 7.459971122E-03
 2.924685860E+01 8.555665016E+00 7.459944580E-03
 2.924685860E+01 8.813235283E+00 7.459918503E-03
 2.924686050E+01 9.079649925E+00 7.459891494E-03
 2.924686050E+01 9.355215073E+00 7.459864486E-03
 2.924686241E+01 9.640253067E+00 7.459837012E-03
 2.924686241E+01 9.935091972E+00 7.459809072E-03
 2.924686432E+01 1.024007607E+01 7.459780667E-03
 2.924686432E+01 1.055555820E+01 7.459751796E-03
 2.924686623E+01 1.088190651E+01 7.459722459E-03
 2.924686623E+01 1.121950340E+01 7.459692657E-03
 2.924686813E+01 1.156874180E+01 7.459662855E-03
 2.924686813E+01 1.193003178E+01 7.459632121E-03
 2.924687004E+01 1.230379677E+01 7.459600922E-03
 2.924687004E+01 1.269047642E+01 7.459569722E-03
 2.924687195E+01 1.309052658E+01 7.459537592E-03
 2.924687195E+01 1.350441933E+01 7.459505461E-03
 2.924687386E+01 1.393264294E+01 7.459472399E-03
 2.924687576E+01 1.437570858E+01 7.459439337E-03
 2.924687576E+01 1.483413982E+01 7.459405344E-03
 2.924687767E+01 1.530848598E+01 7.459371351E-03
 2.924687767E+01 1.579931355E+01 7.459336892E-03
 2.924687958E+01 1.630721092E+01 7.459301502E-03
 2.924688148E+01 1.683278847E+01 7.459266111E-03
 2.924688148E+01 1.737668228E+01 7.459230721E-03
 2.924688339E+01 1.793955040E+01 7.459194399E-03
 2.924688530E+01 1.852207756E+01 7.459158078E-03
 2.924688530E+01 1.912497330E+01 7.459121291E-03
 2.924688721E+01 1.974898148E+01 7.459084038E-03
 2.924688721E+01 2.039486694E+01 7.459046785E-03
 2.924688911E+01 2.106342888E+01 7.459009066E-03
 2.924689102E+01 2.175550270E+01 7.458971348E-03
 2.924689102E+01 2.247195435E+01 7.458933629E-03
 2.924689293E+01 2.321368217E+01 7.458895445E-03
 2.924689484E+01 2.398162651E+01 7.458857261E-03
 2.924689484E+01 2.477676964E+01 7.458819076E-03
 2.924689674E+01 2.560013199E+01 7.458780427E-03
 2.924689865E+01 2.645277977E+01 7.458742242E-03
 2.924689865E+01 2.733582878E+01 7.458704058E-03
 2.924690056E+01 2.825044060E+01 7.458665874E-03
 2.924690056E+01 2.919783592E+01 7.458627690E-03
 2.924690247E+01 3.017928505E+01 7.458589971E-03
 2.924690437E+01 3.119612694E+01 7.458551787E-03
