VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-RC-QCR2013"
 7.040556520E-02 1.881988176E-10 3.129998760E-10 4.328510883E-10
 7.258599997E-02 1.882855816E-10 3.131667148E-10 4.330909520E-10
 7.483396679E-02 1.883699169E-10 3.133301396E-10 4.333267356E-10
 7.715155184E-02 1.884520734E-10 3.134905113E-10 4.335589943E-10
 7.954090834E-02 1.885322592E-10 3.136482185E-10 4.337881720E-10
 8.200427145E-02 1.886106410E-10 3.138034832E-10 4.340146575E-10
 8.454391360E-02 1.886873435E-10 3.139565274E-10 4.342387283E-10
 8.716221154E-02 1.887624917E-10 3.141075733E-10 4.344606341E-10
 8.986160159E-02 1.888361412E-10 3.142567317E-10 4.346805693E-10
 9.264458716E-02 1.889083473E-10 3.144041139E-10 4.348986171E-10
 9.551376104E-02 1.889791656E-10 3.145497751E-10 4.351148886E-10
 9.847179055E-02 1.890485823E-10 3.146937433E-10 4.353294114E-10
 1.015214324E-01 1.891166251E-10 3.148360739E-10 4.355421579E-10
 1.046655178E-01 1.891832524E-10 3.149766836E-10 4.357530725E-10
 1.079069749E-01 1.892484502E-10 3.151155448E-10 4.359620998E-10
 1.112488210E-01 1.893121493E-10 3.152526018E-10 4.361691008E-10
 1.146941632E-01 1.893742940E-10 3.153877437E-10 4.363739092E-10
 1.182462052E-01 1.894348151E-10 3.155208317E-10 4.365763862E-10
 1.219082549E-01 1.894936152E-10 3.156517270E-10 4.367762541E-10
 1.256837100E-01 1.895505697E-10 3.157802630E-10 4.369732909E-10
 1.295761019E-01 1.896055951E-10 3.159062179E-10 4.371672191E-10
 1.335890293E-01 1.896585250E-10 3.160293693E-10 4.373576501E-10
 1.377262473E-01 1.897092206E-10 3.161494677E-10 4.375442786E-10
 1.419915855E-01 1.897575153E-10 3.162662354E-10 4.377266882E-10
 1.463890225E-01 1.898032148E-10 3.163793671E-10 4.379044349E-10
 1.509226412E-01 1.898461249E-10 3.164884743E-10 4.380770191E-10
 1.555966735E-01 1.898860097E-10 3.165931961E-10 4.382439134E-10
 1.604154557E-01 1.899226471E-10 3.166931439E-10 4.384045349E-10
 1.653834581E-01 1.899557733E-10 3.167878182E-10 4.385582453E-10
 1.705053449E-01 1.899850971E-10 3.168767748E-10 4.387043784E-10
 1.757858396E-01 1.900102992E-10 3.169594864E-10 4.388421848E-10
 1.812298745E-01 1.900310603E-10 3.170353424E-10 4.389708597E-10
 1.868425012E-01 1.900470475E-10 3.171037599E-10 4.390895425E-10
 1.926289499E-01 1.900578445E-10 3.171640728E-10 4.391972896E-10
 1.985946149E-01 1.900630903E-10 3.172156149E-10 4.392931574E-10
 2.047450244E-01 1.900623131E-10 3.172575813E-10 4.393760633E-10
 2.110859156E-01 1.900550967E-10 3.172892227E-10 4.394449249E-10
 2.176231891E-01 1.900409274E-10 3.173096785E-10 4.394984932E-10
 2.243629098E-01 1.900193197E-10 3.173180330E-10 4.395355191E-10
 2.313113511E-01 1.899897323E-10 3.173133978E-10 4.395546982E-10
 2.384749949E-01 1.899515961E-10 3.172947183E-10 4.395545872E-10
 2.458604872E-01 1.899043284E-10 3.172609953E-10 4.395337150E-10
 2.534747124E-01 1.898473323E-10 3.172111185E-10 4.394905273E-10
 2.613247335E-01 1.897799418E-10 3.171439500E-10 4.394234143E-10
 2.694178820E-01 1.897015184E-10 3.170582685E-10 4.393306274E-10
 2.777616680E-01 1.896113683E-10 3.169528806E-10 4.392104458E-10
 2.863638699E-01 1.895088669E-10 3.168265650E-10 4.390611763E-10
 2.952324748E-01 1.893935148E-10 3.166784612E-10 4.388814590E-10
 3.043757379E-01 1.892643264E-10 3.165067375E-10 4.386687680E-10
 3.138021529E-01 1.891202750E-10 3.163095896E-10 4.384204666E-10
 3.235205114E-01 1.889608470E-10 3.160859907E-10 4.381350560E-10
 3.335398436E-01 1.887854040E-10 3.158346640E-10 4.378107599E-10
 3.438694775E-01 1.885932105E-10 3.155542494E-10 4.374455242E-10
 3.545189798E-01 1.883835588E-10 3.152434425E-10 4.370374063E-10
 3.654983342E-01 1.881557826E-10 3.149008276E-10 4.365844353E-10
 3.768177032E-01 1.879092298E-10 3.145252114E-10 4.360846961E-10
 3.884876370E-01 1.876433314E-10 3.141153171E-10 4.355364680E-10
 4.005189836E-01 1.873575878E-10 3.136701732E-10 4.349381133E-10
 4.129229188E-01 1.870516242E-10 3.131888360E-10 4.342882998E-10
 4.257110059E-01 1.867251215E-10 3.126705561E-10 4.335857784E-10
 4.388951659E-01 1.863778715E-10 3.121146674E-10 4.328294667E-10
 4.524875879E-01 1.860097493E-10 3.115206704E-10 4.320185321E-10
 4.665009975E-01 1.856207271E-10 3.108882318E-10 4.311523083E-10
 4.809483886E-01 1.852109438E-10 3.102172130E-10 4.302304069E-10
 4.958432019E-01 1.847806907E-10 3.095077250E-10 4.292528555E-10
 5.111992955E-01 1.843304953E-10 3.087602951E-10 4.282200150E-10
 5.270310044E-01 1.838611347E-10 3.079757838E-10 4.271329124E-10
 5.433530211E-01 1.833736635E-10 3.071554400E-10 4.259930186E-10
 5.601804852E-01 1.828694834E-10 3.063010956E-10 4.248025820E-10
 5.775290728E-01 1.823503293E-10 3.054151099E-10 4.235644890E-10
 5.954149961E-01 1.818183520E-10 3.045003971E-10 4.222824868E-10
 6.138547659E-01 1.812761607E-10 3.035606211E-10 4.209612381E-10
 6.328656673E-01 1.807268779E-10 3.026001949E-10 4.196062942E-10
 6.524653435E-01 1.801741534E-10 3.016243089E-10 4.182244273E-10
 6.726719737E-01 1.796221644E-10 3.006388194E-10 4.168229928E-10
 6.935044527E-01 1.790759208E-10 2.996510262E-10 4.154118993E-10
