#Actuator Data by Phase
VARIABLES = "Phase(deg)","Disp(mm)","Pressure(psi)","Voltage"
 2.734868469E+02 -7.581099868E-01 -2.928909957E-01 -1.894799992E-02
 2.744876404E+02 -7.566760182E-01 -2.833450139E-01 -2.337200008E-02
 2.755574036E+02 -7.520800233E-01 -2.736229897E-01 -2.808500081E-02
 2.764824219E+02 -7.562369704E-01 -2.677010000E-01 -3.212799877E-02
 2.774981689E+02 -7.495959997E-01 -2.590950131E-01 -3.660500050E-02
 2.784865112E+02 -7.485650182E-01 -2.540450096E-01 -4.091100022E-02
 2.794989929E+02 -7.468400002E-01 -2.480019927E-01 -4.534500092E-02
 2.805158997E+02 -7.404440045E-01 -2.404589951E-01 -4.977099970E-02
 2.814659729E+02 -7.442709804E-01 -2.356349975E-01 -5.387600139E-02
 2.825304565E+02 -7.377799749E-01 -2.266580015E-01 -5.850199983E-02
 2.835052185E+02 -7.359250188E-01 -2.198060006E-01 -6.267300248E-02
 2.845137939E+02 -7.330139875E-01 -2.124979943E-01 -6.702599674E-02
 2.854797058E+02 -7.271760106E-01 -2.061759979E-01 -7.113199681E-02
 2.864649658E+02 -7.275050282E-01 -2.000820041E-01 -7.530999929E-02
 2.875252991E+02 -7.219690084E-01 -1.919640005E-01 -7.981000096E-02
 2.884864502E+02 -7.215080261E-01 -1.844429970E-01 -8.382499963E-02
 2.895188293E+02 -7.160429955E-01 -1.748339981E-01 -8.816500008E-02
 2.905049133E+02 -7.113190293E-01 -1.682129949E-01 -9.224399924E-02
 2.914702148E+02 -7.102280259E-01 -1.595290005E-01 -9.623499960E-02
 2.925246582E+02 -7.036209702E-01 -1.512980014E-01 -1.005579978E-01
 2.934851990E+02 -7.031540275E-01 -1.432079971E-01 -1.044489965E-01
 2.945178528E+02 -6.956409812E-01 -1.325969994E-01 -1.086350009E-01
 2.955165100E+02 -6.905890107E-01 -1.256230026E-01 -1.126210019E-01
 2.964932251E+02 -6.881420016E-01 -1.163749993E-01 -1.165179983E-01
 2.975567627E+02 -6.816750169E-01 -1.091820002E-01 -1.206929982E-01
 2.984466858E+02 -6.810320020E-01 -1.019589975E-01 -1.241620034E-01
 2.994955139E+02 -6.727619767E-01 -9.408699721E-02 -1.282279938E-01
 3.004797974E+02 -6.686930060E-01 -8.731800318E-02 -1.319890022E-01
 3.014761353E+02 -6.629409790E-01 -8.043999970E-02 -1.357749999E-01
 3.025494690E+02 -6.574190259E-01 -7.444699854E-02 -1.397950053E-01
 3.034299622E+02 -6.547080278E-01 -6.914799660E-02 -1.430419981E-01
 3.044909058E+02 -6.463199854E-01 -6.357800215E-02 -1.469489932E-01
 3.054976196E+02 -6.414570212E-01 -5.743499845E-02 -1.505720019E-01
 3.064940491E+02 -6.355730295E-01 -5.223099887E-02 -1.541559994E-01
 3.075421448E+02 -6.274539828E-01 -4.729999974E-02 -1.578470021E-01
 3.084440613E+02 -6.246150136E-01 -4.471600056E-02 -1.609819978E-01
 3.095473328E+02 -6.159960032E-01 -4.130500183E-02 -1.647810042E-01
 3.105122375E+02 -6.102870107E-01 -3.832999989E-02 -1.680299938E-01
 3.115196533E+02 -6.043760180E-01 -3.459399939E-02 -1.714120060E-01
 3.125216370E+02 -5.940160155E-01 -3.047199920E-02 -1.746750027E-01
 3.134424133E+02 -5.902270079E-01 -2.764399908E-02 -1.776659936E-01
 3.145402527E+02 -5.805789828E-01 -2.442700043E-02 -1.811539978E-01
 3.154798584E+02 -5.759339929E-01 -2.166399918E-02 -1.840890050E-01
 3.165291748E+02 -5.658500195E-01 -1.586900093E-02 -1.873189956E-01
 3.175244141E+02 -5.573049784E-01 -1.219400018E-02 -1.902969927E-01
 3.184441223E+02 -5.525370240E-01 -7.333000191E-03 -1.930419952E-01
 3.195718384E+02 -5.414829850E-01 -2.987999935E-03 -1.962949932E-01
 3.204866638E+02 -5.352330208E-01 2.450000029E-04 -1.989009976E-01
 3.215130920E+02 -5.256100297E-01 5.344999954E-03 -2.017630041E-01
 3.225159912E+02 -5.156279802E-01 8.462999947E-03 -2.044679970E-01
 3.234530945E+02 -5.104579926E-01 1.261499990E-02 -2.069890052E-01
 3.245968628E+02 -4.974510074E-01 1.605099998E-02 -2.099460065E-01
 3.254502563E+02 -4.931800067E-01 1.763400063E-02 -2.121029943E-01
 3.265269165E+02 -4.796540141E-01 2.082400024E-02 -2.147729993E-01
 3.274837341E+02 -4.720349908E-01 2.281600051E-02 -2.170539945E-01
 3.284742737E+02 -4.634599984E-01 2.609499916E-02 -2.194029987E-01
 3.295935059E+02 -4.517759979E-01 2.876400016E-02 -2.219379991E-01
 3.304272461E+02 -4.451740086E-01 2.987099998E-02 -2.237789929E-01
 3.315403442E+02 -4.332390130E-01 3.104100004E-02 -2.261590064E-01
 3.324949341E+02 -4.221070111E-01 3.161900118E-02 -2.281370014E-01
 3.334702759E+02 -4.132620096E-01 3.260400146E-02 -2.301079929E-01
 3.345652466E+02 -4.010460079E-01 3.516500071E-02 -2.322320044E-01
 3.354112244E+02 -3.942190111E-01 3.676199913E-02 -2.337979972E-01
 3.365540161E+02 -3.814739883E-01 3.905899823E-02 -2.358569950E-01
 3.374927979E+02 -3.717289865E-01 4.147899896E-02 -2.374619991E-01
 3.384866333E+02 -3.608810008E-01 4.305699840E-02 -2.391429991E-01
 3.395321960E+02 -3.480570018E-01 4.737300053E-02 -2.407830060E-01
 3.404180603E+02 -3.407520056E-01 4.965699837E-02 -2.421160042E-01
 3.415896301E+02 -3.266730011E-01 5.313500017E-02 -2.438170016E-01
 3.424458923E+02 -3.187650144E-01 5.679000169E-02 -2.449640036E-01
 3.434990845E+02 -3.053050041E-01 5.993200094E-02 -2.463459969E-01
 3.445036621E+02 -2.932640016E-01 6.418000162E-02 -2.475589961E-01
 3.454187317E+02 -2.845929861E-01 6.884299964E-02 -2.486069947E-01
 3.465976257E+02 -2.708539963E-01 7.341299951E-02 -2.498790026E-01
 3.474769592E+02 -2.606050074E-01 7.819300145E-02 -2.507350147E-01
 3.485393982E+02 -2.491859943E-01 8.218699694E-02 -2.517290115E-01
 3.494989624E+02 -2.346629947E-01 8.678200096E-02 -2.525259852E-01
 3.504696655E+02 -2.264260054E-01 9.277299792E-02 -2.532790005E-01
 3.516288452E+02 -2.088740021E-01 9.837199748E-02 -2.540870011E-01
 3.524608765E+02 -2.013639957E-01 1.040519997E-01 -2.545740008E-01
 3.535082397E+02 -1.875630021E-01 1.088489965E-01 -2.551560104E-01
 3.544577026E+02 -1.745260060E-01 1.146280020E-01 -2.555800080E-01
 3.554510193E+02 -1.660220027E-01 1.192160025E-01 -2.560009956E-01
 3.564913635E+02 -1.479620039E-01 1.245720014E-01 -2.562870085E-01
