VARIABLES = "X","Y","Z","cp"
ZONE T="CFL3D, grid 1"
 -7.794493437E-01 0.000000000E+00 0.000000000E+00 6.581204478E-03
 -7.652581334E-01 0.000000000E+00 0.000000000E+00 6.682532374E-03
 -7.513244748E-01 0.000000000E+00 0.000000000E+00 6.786840502E-03
 -7.376436591E-01 0.000000000E+00 0.000000000E+00 6.891148631E-03
 -7.242110968E-01 0.000000000E+00 0.000000000E+00 6.998436991E-03
 -7.110222578E-01 0.000000000E+00 0.000000000E+00 7.105725352E-03
 -6.980727911E-01 0.000000000E+00 0.000000000E+00 7.213013712E-03
 -6.853582263E-01 0.000000000E+00 0.000000000E+00 7.323282305E-03
 -6.728742719E-01 0.000000000E+00 0.000000000E+00 7.433550898E-03
 -6.606168747E-01 0.000000000E+00 0.000000000E+00 7.543819491E-03
 -6.485817432E-01 0.000000000E+00 0.000000000E+00 7.657068316E-03
 -6.367649436E-01 0.000000000E+00 0.000000000E+00 7.770317141E-03
 -6.251624227E-01 0.000000000E+00 0.000000000E+00 7.880585268E-03
 -6.137703061E-01 0.000000000E+00 0.000000000E+00 7.996814325E-03
 -6.025847793E-01 0.000000000E+00 0.000000000E+00 8.110063151E-03
 -5.916020870E-01 0.000000000E+00 0.000000000E+00 8.226292208E-03
 -5.808184743E-01 0.000000000E+00 0.000000000E+00 8.342521265E-03
 -5.702303052E-01 0.000000000E+00 0.000000000E+00 8.461730555E-03
 -5.598340631E-01 0.000000000E+00 0.000000000E+00 8.577959612E-03
 -5.496262908E-01 0.000000000E+00 0.000000000E+00 8.700149134E-03
 -5.396034718E-01 0.000000000E+00 0.000000000E+00 8.819358423E-03
 -5.297622681E-01 0.000000000E+00 0.000000000E+00 8.938567713E-03
 -5.200993419E-01 0.000000000E+00 0.000000000E+00 9.060757235E-03
 -5.106114745E-01 0.000000000E+00 0.000000000E+00 9.182946756E-03
 -5.012954473E-01 0.000000000E+00 0.000000000E+00 9.305136278E-03
 -4.921481311E-01 0.000000000E+00 0.000000000E+00 9.430306032E-03
 -4.831664860E-01 0.000000000E+00 0.000000000E+00 9.552495554E-03
 -4.743474126E-01 0.000000000E+00 0.000000000E+00 9.677665308E-03
 -4.656880200E-01 0.000000000E+00 0.000000000E+00 9.802835062E-03
 -4.571853280E-01 0.000000000E+00 0.000000000E+00 9.928004816E-03
 -4.488365352E-01 0.000000000E+00 0.000000000E+00 1.005317457E-02
 -4.406387806E-01 0.000000000E+00 0.000000000E+00 1.017834432E-02
 -4.325893521E-01 0.000000000E+00 0.000000000E+00 1.030947454E-02
 -4.246855080E-01 0.000000000E+00 0.000000000E+00 1.043464430E-02
 -4.169245660E-01 0.000000000E+00 0.000000000E+00 1.056279428E-02
 -4.093039930E-01 0.000000000E+00 0.000000000E+00 1.069392450E-02
 -4.018211365E-01 0.000000000E+00 0.000000000E+00 1.082207449E-02
 -3.944735229E-01 0.000000000E+00 0.000000000E+00 1.095320471E-02
 -3.872586787E-01 0.000000000E+00 0.000000000E+00 1.108433492E-02
 -3.801741898E-01 0.000000000E+00 0.000000000E+00 1.121546514E-02
 -3.732176125E-01 0.000000000E+00 0.000000000E+00 1.134361513E-02
 -3.663866818E-01 0.000000000E+00 0.000000000E+00 1.147772558E-02
 -3.596790433E-01 0.000000000E+00 0.000000000E+00 1.161183603E-02
 -3.530924618E-01 0.000000000E+00 0.000000000E+00 1.173998602E-02
 -3.466247022E-01 0.000000000E+00 0.000000000E+00 1.187409647E-02
 -3.402736187E-01 0.000000000E+00 0.000000000E+00 1.200820692E-02
 -3.340370655E-01 0.000000000E+00 0.000000000E+00 1.213933714E-02
 -3.279129267E-01 0.000000000E+00 0.000000000E+00 1.227344759E-02
 -3.218991458E-01 0.000000000E+00 0.000000000E+00 1.240755804E-02
 -3.159936965E-01 0.000000000E+00 0.000000000E+00 1.254464872E-02
 -3.101946115E-01 0.000000000E+00 0.000000000E+00 1.267875917E-02
 -3.044999242E-01 0.000000000E+00 0.000000000E+00 1.281286962E-02
 -2.989077270E-01 0.000000000E+00 0.000000000E+00 1.294698007E-02
 -2.934161127E-01 0.000000000E+00 0.000000000E+00 1.308109052E-02
 -2.880232632E-01 0.000000000E+00 0.000000000E+00 1.321818121E-02
 -2.827273309E-01 0.000000000E+00 0.000000000E+00 1.335229166E-02
 -2.775265872E-01 0.000000000E+00 0.000000000E+00 1.348938234E-02
 -2.724192142E-01 0.000000000E+00 0.000000000E+00 1.362349279E-02
 -2.674035430E-01 0.000000000E+00 0.000000000E+00 1.376058348E-02
 -2.624778748E-01 0.000000000E+00 0.000000000E+00 1.389469393E-02
 -2.576405406E-01 0.000000000E+00 0.000000000E+00 1.403178461E-02
 -2.528899014E-01 0.000000000E+00 0.000000000E+00 1.416887529E-02
 -2.482243925E-01 0.000000000E+00 0.000000000E+00 1.430298574E-02
 -2.436424345E-01 0.000000000E+00 0.000000000E+00 1.444007643E-02
 -2.391424626E-01 0.000000000E+00 0.000000000E+00 1.457716711E-02
 -2.347229719E-01 0.000000000E+00 0.000000000E+00 1.471127756E-02
 -2.303824872E-01 0.000000000E+00 0.000000000E+00 1.484836824E-02
 -2.261195332E-01 0.000000000E+00 0.000000000E+00 1.498545893E-02
 -2.219326943E-01 0.000000000E+00 0.000000000E+00 1.511956938E-02
 -2.178205401E-01 0.000000000E+00 0.000000000E+00 1.525666006E-02
 -2.137816995E-01 0.000000000E+00 0.000000000E+00 1.539077051E-02
 -2.098148018E-01 0.000000000E+00 0.000000000E+00 1.552488096E-02
 -2.059185207E-01 0.000000000E+00 0.000000000E+00 1.566197164E-02
 -2.020915598E-01 0.000000000E+00 0.000000000E+00 1.579608209E-02
 -1.983325928E-01 0.000000000E+00 0.000000000E+00 1.593317278E-02
 -1.946403831E-01 0.000000000E+00 0.000000000E+00 1.606877334E-02
 -1.946403831E-01 0.000000000E+00 0.000000000E+00 1.606877334E-02
 -1.910136938E-01 0.000000000E+00 0.000000000E+00 1.620139368E-02
 -1.874512732E-01 0.000000000E+00 0.000000000E+00 1.633848436E-02
 -1.839519590E-01 0.000000000E+00 0.000000000E+00 1.647259481E-02
 -1.805145442E-01 0.000000000E+00 0.000000000E+00 1.660670526E-02
 -1.771378815E-01 0.000000000E+00 0.000000000E+00 1.673783548E-02
 -1.738208532E-01 0.000000000E+00 0.000000000E+00 1.687492616E-02
 -1.705623120E-01 0.000000000E+00 0.000000000E+00 1.700903662E-02
 -1.673611701E-01 0.000000000E+00 0.000000000E+00 1.714314707E-02
 -1.642163694E-01 0.000000000E+00 0.000000000E+00 1.727427728E-02
 -1.611268222E-01 0.000000000E+00 0.000000000E+00 1.740540750E-02
 -1.580915153E-01 0.000000000E+00 0.000000000E+00 1.753951795E-02
 -1.551094055E-01 0.000000000E+00 0.000000000E+00 1.767362840E-02
 -1.521795094E-01 0.000000000E+00 0.000000000E+00 1.780475862E-02
 -1.493008286E-01 0.000000000E+00 0.000000000E+00 1.793588884E-02
 -1.464723945E-01 0.000000000E+00 0.000000000E+00 1.806999929E-02
 -1.436932534E-01 0.000000000E+00 0.000000000E+00 1.819814928E-02
 -1.409624815E-01 0.000000000E+00 0.000000000E+00 1.833225973E-02
 -1.382791400E-01 0.000000000E+00 0.000000000E+00 1.846040972E-02
 -1.356423497E-01 0.000000000E+00 0.000000000E+00 1.859153993E-02
 -1.330512166E-01 0.000000000E+00 0.000000000E+00 1.872267015E-02
 -1.305048466E-01 0.000000000E+00 0.000000000E+00 1.885380037E-02
 -1.280024052E-01 0.000000000E+00 0.000000000E+00 1.898195036E-02
 -1.255430430E-01 0.000000000E+00 0.000000000E+00 1.911308058E-02
 -1.231259406E-01 0.000000000E+00 0.000000000E+00 1.923825033E-02
 -1.207502708E-01 0.000000000E+00 0.000000000E+00 1.936640032E-02
 -1.184152439E-01 0.000000000E+00 0.000000000E+00 1.949753053E-02
 -1.161200702E-01 0.000000000E+00 0.000000000E+00 1.962568052E-02
 -1.138639748E-01 0.000000000E+00 0.000000000E+00 1.975085028E-02
 -1.116462052E-01 0.000000000E+00 0.000000000E+00 1.988198049E-02
 -1.094660088E-01 0.000000000E+00 0.000000000E+00 2.000715025E-02
 -1.073226556E-01 0.000000000E+00 0.000000000E+00 2.013232000E-02
 -1.052154228E-01 0.000000000E+00 0.000000000E+00 2.026046999E-02
 -1.031436026E-01 0.000000000E+00 0.000000000E+00 2.038861997E-02
 -1.011064947E-01 0.000000000E+00 0.000000000E+00 2.051378973E-02
 -9.910341352E-02 0.000000000E+00 0.000000000E+00 2.063895948E-02
 -9.713368863E-02 0.000000000E+00 0.000000000E+00 2.076412924E-02
 -9.519665688E-02 0.000000000E+00 0.000000000E+00 2.088929899E-02
 -9.329166263E-02 0.000000000E+00 0.000000000E+00 2.101446874E-02
 -9.141806513E-02 0.000000000E+00 0.000000000E+00 2.113963850E-02
 -8.957523853E-02 0.000000000E+00 0.000000000E+00 2.126480825E-02
 -8.776255697E-02 0.000000000E+00 0.000000000E+00 2.138699777E-02
 -8.597940952E-02 0.000000000E+00 0.000000000E+00 2.151216753E-02
 -8.422520012E-02 0.000000000E+00 0.000000000E+00 2.163733728E-02
 -8.249934018E-02 0.000000000E+00 0.000000000E+00 2.176250704E-02
 -8.080124855E-02 0.000000000E+00 0.000000000E+00 2.188469656E-02
 -7.913035154E-02 0.000000000E+00 0.000000000E+00 2.200986631E-02
 -7.748608291E-02 0.000000000E+00 0.000000000E+00 2.213205583E-02
 -7.586789131E-02 0.000000000E+00 0.000000000E+00 2.225722559E-02
 -7.427524030E-02 0.000000000E+00 0.000000000E+00 2.237941511E-02
 -7.270757854E-02 0.000000000E+00 0.000000000E+00 2.250160463E-02
 -7.116439939E-02 0.000000000E+00 0.000000000E+00 2.262677439E-02
