VARIABLES = "X","Y","Z","mut"
ZONE T="CFL3D, grid 1"
 1.207912207E+00 -1.250000000E-01 4.128727131E-03 1.544313354E+02
 1.207912207E+00 -1.250000000E-01 4.212843254E-03 1.566470032E+02
 1.207912207E+00 -1.250000000E-01 4.298672546E-03 1.588607330E+02
 1.207912207E+00 -1.250000000E-01 4.386250861E-03 1.610708313E+02
 1.207912207E+00 -1.250000000E-01 4.475613125E-03 1.632754822E+02
 1.207912207E+00 -1.250000000E-01 4.566796124E-03 1.654728241E+02
 1.207912207E+00 -1.250000000E-01 4.659837112E-03 1.676609344E+02
 1.207912207E+00 -1.250000000E-01 4.754772875E-03 1.698377533E+02
 1.207912207E+00 -1.250000000E-01 4.851642996E-03 1.720012054E+02
 1.207912207E+00 -1.250000000E-01 4.950487055E-03 1.741490936E+02
 1.207912207E+00 -1.250000000E-01 5.051344167E-03 1.762791290E+02
 1.207912207E+00 -1.250000000E-01 5.154256243E-03 1.783889313E+02
 1.207912207E+00 -1.250000000E-01 5.259265192E-03 1.804760437E+02
 1.207912207E+00 -1.250000000E-01 5.366413388E-03 1.825378876E+02
 1.207912207E+00 -1.250000000E-01 5.475744139E-03 1.845717926E+02
 1.207912207E+00 -1.250000000E-01 5.587302614E-03 1.865749817E+02
 1.207912207E+00 -1.250000000E-01 5.701133516E-03 1.885445404E+02
 1.207912207E+00 -1.250000000E-01 5.817283876E-03 1.904775085E+02
 1.207912207E+00 -1.250000000E-01 5.935800262E-03 1.923707275E+02
 1.207912207E+00 -1.250000000E-01 6.056731101E-03 1.942209625E+02
 1.207912207E+00 -1.250000000E-01 6.180125754E-03 1.960248413E+02
 1.207912207E+00 -1.250000000E-01 6.306034513E-03 1.977788849E+02
 1.207912207E+00 -1.250000000E-01 6.434508134E-03 1.994794464E+02
 1.207912207E+00 -1.250000000E-01 6.565599237E-03 2.011227570E+02
 1.207912207E+00 -1.250000000E-01 6.699360907E-03 2.027049408E+02
 1.207912207E+00 -1.250000000E-01 6.835847627E-03 2.042219238E+02
 1.207912207E+00 -1.250000000E-01 6.975115277E-03 2.056695404E+02
 1.207912207E+00 -1.250000000E-01 7.117220201E-03 2.070434265E+02
 1.207912207E+00 -1.250000000E-01 7.262219675E-03 2.083390961E+02
 1.207912207E+00 -1.250000000E-01 7.410173770E-03 2.095518951E+02
 1.207912207E+00 -1.250000000E-01 7.561142091E-03 2.106770325E+02
 1.207912207E+00 -1.250000000E-01 7.715185639E-03 2.117095032E+02
 1.207912207E+00 -1.250000000E-01 7.872368209E-03 2.126442108E+02
 1.207912207E+00 -1.250000000E-01 8.032752201E-03 2.134758301E+02
 1.207912207E+00 -1.250000000E-01 8.196404204E-03 2.141988983E+02
 1.207912207E+00 -1.250000000E-01 8.363390341E-03 2.148077698E+02
 1.207912207E+00 -1.250000000E-01 8.533777669E-03 2.152966614E+02
 1.207912207E+00 -1.250000000E-01 8.707636967E-03 2.156595764E+02
 1.207912207E+00 -1.250000000E-01 8.885038085E-03 2.158903503E+02
 1.207912207E+00 -1.250000000E-01 9.066053666E-03 2.159826813E+02
 1.207912207E+00 -1.250000000E-01 9.250756353E-03 2.159300690E+02
 1.207912207E+00 -1.250000000E-01 9.439222515E-03 2.157258606E+02
 1.207912207E+00 -1.250000000E-01 9.631528519E-03 2.153632355E+02
 1.207912207E+00 -1.250000000E-01 9.827752598E-03 2.148352203E+02
 1.207912207E+00 -1.250000000E-01 1.002797298E-02 2.141346893E+02
 1.207912207E+00 -1.250000000E-01 1.023227349E-02 2.132543793E+02
 1.207912207E+00 -1.250000000E-01 1.044073608E-02 2.121868744E+02
 1.207912207E+00 -1.250000000E-01 1.065344550E-02 2.109246521E+02
 1.207912207E+00 -1.250000000E-01 1.087048836E-02 2.094600830E+02
 1.207912207E+00 -1.250000000E-01 1.109195314E-02 2.077854919E+02
 1.207912207E+00 -1.250000000E-01 1.131793018E-02 2.058930511E+02
 1.207912207E+00 -1.250000000E-01 1.154851075E-02 2.037749786E+02
 1.207912207E+00 -1.250000000E-01 1.178378891E-02 2.014234314E+02
 1.207912207E+00 -1.250000000E-01 1.202385966E-02 1.988306122E+02
 1.207912207E+00 -1.250000000E-01 1.226882264E-02 1.959887695E+02
 1.207912207E+00 -1.250000000E-01 1.251877565E-02 1.928902893E+02
 1.207912207E+00 -1.250000000E-01 1.277382020E-02 1.895277405E+02
 1.207912207E+00 -1.250000000E-01 1.303406153E-02 1.858938599E+02
 1.207912207E+00 -1.250000000E-01 1.329960488E-02 1.819817505E+02
 1.207912207E+00 -1.250000000E-01 1.357055828E-02 1.777848816E+02
 1.207912207E+00 -1.250000000E-01 1.384703070E-02 1.732972260E+02
 1.207912207E+00 -1.250000000E-01 1.412913669E-02 1.685133667E+02
 1.207912207E+00 -1.250000000E-01 1.441698987E-02 1.634286041E+02
 1.207912207E+00 -1.250000000E-01 1.471070759E-02 1.580391846E+02
 1.207912207E+00 -1.250000000E-01 1.501040813E-02 1.523424072E+02
 1.207912207E+00 -1.250000000E-01 1.531621534E-02 1.463368378E+02
 1.207912207E+00 -1.250000000E-01 1.562825218E-02 1.400226135E+02
 1.207912207E+00 -1.250000000E-01 1.594664715E-02 1.334016266E+02
 1.207912207E+00 -1.250000000E-01 1.627152786E-02 1.264779510E+02
 1.207912207E+00 -1.250000000E-01 1.660302840E-02 1.192581482E+02
 1.207912207E+00 -1.250000000E-01 1.694128104E-02 1.117518234E+02
 1.207912207E+00 -1.250000000E-01 1.728642732E-02 1.039718933E+02
 1.207912207E+00 -1.250000000E-01 1.763860323E-02 9.593549347E+01
 1.207912207E+00 -1.250000000E-01 1.799795404E-02 8.766436005E+01
 1.207912207E+00 -1.250000000E-01 1.836462691E-02 7.918567657E+01
 1.207912207E+00 -1.250000000E-01 1.873876899E-02 7.053278351E+01
