VARIABLES = "X","Y","mut"
ZONE T="CFL3D"
 7.500000000E-01 5.203835666E-02 6.687798309E+01
 7.500000000E-01 5.207988620E-02 6.789053345E+01
 7.500000000E-01 5.212226510E-02 6.892272949E+01
 7.500000000E-01 5.216550082E-02 6.997502136E+01
 7.500000000E-01 5.220961571E-02 7.104783630E+01
 7.500000000E-01 5.225463957E-02 7.214157104E+01
 7.500000000E-01 5.230057240E-02 7.325657654E+01
 7.500000000E-01 5.234745145E-02 7.439315033E+01
 7.500000000E-01 5.239526927E-02 7.555152893E+01
 7.500000000E-01 5.244407058E-02 7.673188782E+01
 7.500000000E-01 5.249387026E-02 7.793433380E+01
 7.500000000E-01 5.254468322E-02 7.915886688E+01
 7.500000000E-01 5.259652436E-02 8.040544128E+01
 7.500000000E-01 5.264942348E-02 8.167386627E+01
 7.500000000E-01 5.270341039E-02 8.296389008E+01
 7.500000000E-01 5.275848508E-02 8.427512360E+01
 7.500000000E-01 5.281468481E-02 8.560709381E+01
 7.500000000E-01 5.287203193E-02 8.695915222E+01
 7.500000000E-01 5.293054879E-02 8.833059692E+01
 7.500000000E-01 5.299025029E-02 8.972055817E+01
 7.500000000E-01 5.305117369E-02 9.112802887E+01
 7.500000000E-01 5.311334133E-02 9.255187225E+01
 7.500000000E-01 5.317676812E-02 9.399083710E+01
 7.500000000E-01 5.324149132E-02 9.544351196E+01
 7.500000000E-01 5.330753326E-02 9.690837097E+01
 7.500000000E-01 5.337491632E-02 9.838374329E+01
 7.500000000E-01 5.344367027E-02 9.986782837E+01
 7.500000000E-01 5.351383239E-02 1.013587036E+02
 7.500000000E-01 5.358542502E-02 1.028544006E+02
 7.500000000E-01 5.365847051E-02 1.043526993E+02
 7.500000000E-01 5.373300612E-02 1.058515015E+02
 7.500000000E-01 5.380906165E-02 1.073481979E+02
 7.500000000E-01 5.388666689E-02 1.088405991E+02
 7.500000000E-01 5.396585166E-02 1.103262024E+02
 7.500000000E-01 5.404664576E-02 1.118023987E+02
 7.500000000E-01 5.412909389E-02 1.132665024E+02
 7.500000000E-01 5.421321094E-02 1.147160034E+02
 7.500000000E-01 5.429904908E-02 1.161481018E+02
 7.500000000E-01 5.438663065E-02 1.175602036E+02
 7.500000000E-01 5.447600782E-02 1.189496002E+02
 7.500000000E-01 5.456719548E-02 1.203134995E+02
 7.500000000E-01 5.466024578E-02 1.216492004E+02
 7.500000000E-01 5.475518852E-02 1.229541016E+02
 7.500000000E-01 5.485206842E-02 1.242255020E+02
 7.500000000E-01 5.495092273E-02 1.254608002E+02
 7.500000000E-01 5.505178869E-02 1.266574020E+02
 7.500000000E-01 5.515471101E-02 1.278127975E+02
 7.500000000E-01 5.525971949E-02 1.289244995E+02
 7.500000000E-01 5.536688119E-02 1.299900970E+02
 7.500000000E-01 5.547621846E-02 1.310070953E+02
 7.500000000E-01 5.558779091E-02 1.319732971E+02
 7.500000000E-01 5.570162833E-02 1.328863068E+02
 7.500000000E-01 5.581779033E-02 1.337440033E+02
 7.500000000E-01 5.593632162E-02 1.345442963E+02
 7.500000000E-01 5.605725944E-02 1.352848969E+02
 7.500000000E-01 5.618066341E-02 1.359636993E+02
 7.500000000E-01 5.630658567E-02 1.365787964E+02
 7.500000000E-01 5.643506348E-02 1.371280975E+02
 7.500000000E-01 5.656617135E-02 1.376094971E+02
 7.500000000E-01 5.669994652E-02 1.380211945E+02
 7.500000000E-01 5.683644116E-02 1.383610992E+02
 7.500000000E-01 5.697572231E-02 1.386271973E+02
 7.500000000E-01 5.711783469E-02 1.388175964E+02
 7.500000000E-01 5.726285279E-02 1.389302063E+02
 7.500000000E-01 5.741082132E-02 1.389627991E+02
 7.500000000E-01 5.756179988E-02 1.389134979E+02
 7.500000000E-01 5.771585554E-02 1.387799988E+02
 7.500000000E-01 5.787305534E-02 1.385599976E+02
 7.500000000E-01 5.803345144E-02 1.382512054E+02
 7.500000000E-01 5.819711089E-02 1.378509979E+02
 7.500000000E-01 5.836411566E-02 1.373569031E+02
 7.500000000E-01 5.853451788E-02 1.367660065E+02
 7.500000000E-01 5.870839208E-02 1.360753937E+02
 7.500000000E-01 5.888581276E-02 1.352816010E+02
 7.500000000E-01 5.906683952E-02 1.343813019E+02
 7.500000000E-01 5.925156176E-02 1.333703003E+02
 7.500000000E-01 5.944004655E-02 1.322442932E+02
 7.500000000E-01 5.963236094E-02 1.309978943E+02
 7.500000000E-01 5.982860923E-02 1.296253052E+02
 7.500000000E-01 6.002884358E-02 1.281194000E+02
 7.500000000E-01 6.023316085E-02 1.264716034E+02
 7.500000000E-01 6.044164300E-02 1.246715012E+02
 7.500000000E-01 6.065437198E-02 1.227060013E+02
 7.500000000E-01 6.087143719E-02 1.205587997E+02
 7.500000000E-01 6.109291315E-02 1.182089996E+02
 7.500000000E-01 6.131891161E-02 1.156296005E+02
 7.500000000E-01 6.154951453E-02 1.127855988E+02
 7.500000000E-01 6.178481132E-02 1.096314011E+02
 7.500000000E-01 6.202490628E-02 1.061078033E+02
 7.500000000E-01 6.226988137E-02 5.531423950E+01
 7.500000000E-01 6.251986325E-02 2.365279007E+01
 7.500000000E-01 6.277492642E-02 1.429533005E+01
 7.500000000E-01 6.303519011E-02 1.121586990E+01
 7.500000000E-01 6.330075860E-02 9.150851250E+00
 7.500000000E-01 6.357173622E-02 6.961594105E+00
 7.500000000E-01 6.384823471E-02 4.879573822E+00
 7.500000000E-01 6.413035840E-02 3.080631971E+00
 7.500000000E-01 6.441824138E-02 1.598885059E+00
 7.500000000E-01 6.471198052E-02 5.192610025E-01
 7.500000000E-01 6.501170993E-02 7.345285267E-02
 7.500000000E-01 6.531754136E-02 5.714300089E-03
 7.500000000E-01 6.562960893E-02 5.152006052E-04
 7.500000000E-01 6.594803184E-02 1.908317208E-04
 7.500000000E-01 6.627293676E-02 1.721784938E-04
 7.500000000E-01 6.660446525E-02 1.713640231E-04
 7.500000000E-01 6.694275141E-02 1.715767867E-04
 7.500000000E-01 6.728792191E-02 1.718781132E-04
 7.500000000E-01 6.764013320E-02 1.722180168E-04
 7.500000000E-01 6.799951196E-02 1.725944021E-04
 7.500000000E-01 6.836621463E-02 1.730075455E-04
 7.500000000E-01 6.874039024E-02 1.734576945E-04
 7.500000000E-01 6.912218779E-02 1.739449508E-04
 7.500000000E-01 6.951176375E-02 1.744692854E-04
 7.500000000E-01 6.990927458E-02 1.750305819E-04
 7.500000000E-01 7.031489164E-02 1.756285637E-04
 7.500000000E-01 7.072876394E-02 1.762629254E-04
 7.500000000E-01 7.115107030E-02 1.769332157E-04
 7.500000000E-01 7.158198208E-02 1.776390563E-04
 7.500000000E-01 7.202167064E-02 1.783799089E-04
 7.500000000E-01 7.247032225E-02 1.791553077E-04
 7.500000000E-01 7.292810827E-02 1.799647289E-04
 7.500000000E-01 7.339522243E-02 1.808076922E-04
 7.500000000E-01 7.387185097E-02 1.816837466E-04
 7.500000000E-01 7.435819507E-02 1.825924555E-04
 7.500000000E-01 7.485444099E-02 1.835334115E-04
 7.500000000E-01 7.536078990E-02 1.845063089E-04
 7.500000000E-01 7.587747276E-02 1.855108421E-04
 7.500000000E-01 7.640467584E-02 1.865467639E-04
 7.500000000E-01 7.694260776E-02 1.876139722E-04
 7.500000000E-01 7.749152184E-02 1.887123217E-04
 7.500000000E-01 7.805161178E-02 1.898418122E-04
 7.500000000E-01 7.862310112E-02 1.910024876E-04
 7.500000000E-01 7.920624316E-02 1.921944204E-04
 7.500000000E-01 7.980124652E-02 1.934177708E-04
 7.500000000E-01 8.040839434E-02 1.946727571E-04
 7.500000000E-01 8.102791011E-02 1.959595829E-04
 7.500000000E-01 8.166003227E-02 1.972785685E-04
 7.500000000E-01 8.230504394E-02 1.986300340E-04
 7.500000000E-01 8.296319842E-02 2.000143431E-04
 7.500000000E-01 8.363474905E-02 2.014318306E-04
 7.500000000E-01 8.431999385E-02 2.028829185E-04
 7.500000000E-01 8.501918614E-02 2.043679269E-04
 7.500000000E-01 8.573263884E-02 2.058871905E-04
 7.500000000E-01 8.646062016E-02 2.074409422E-04
 7.500000000E-01 8.720342815E-02 2.090292692E-04
 7.500000000E-01 8.796137571E-02 2.106519823E-04
 7.500000000E-01 8.873476088E-02 2.123085724E-04
 7.500000000E-01 8.952389657E-02 2.139975841E-04
 7.500000000E-01 9.032912552E-02 2.157142153E-04
 7.500000000E-01 9.115074575E-02 2.174294204E-04
 7.500000000E-01 9.198911488E-02 2.191590320E-04
 7.500000000E-01 9.284456074E-02 2.209357626E-04
 7.500000000E-01 9.371742606E-02 2.227619698E-04
 7.500000000E-01 9.460808337E-02 2.246392833E-04
 7.500000000E-01 9.551687539E-02 2.265693183E-04
 7.500000000E-01 9.644420445E-02 2.285537776E-04
 7.500000000E-01 9.739039838E-02 2.305944508E-04
 7.500000000E-01 9.835587442E-02 2.326931863E-04
 7.500000000E-01 9.934104979E-02 2.348518756E-04
 7.500000000E-01 1.003462970E-01 2.370725415E-04
 7.500000000E-01 1.013720036E-01 2.393572358E-04
 7.500000000E-01 1.024186015E-01 2.417081269E-04
 7.500000000E-01 1.034865007E-01 2.441274410E-04
 7.500000000E-01 1.045762002E-01 2.466175065E-04
 7.500000000E-01 1.056881025E-01 2.491807682E-04
 7.500000000E-01 1.068226025E-01 2.518197289E-04
 7.500000000E-01 1.079801992E-01 2.545370371E-04
 7.500000000E-01 1.091615036E-01 2.573353704E-04
 7.500000000E-01 1.103667021E-01 2.602176392E-04
 7.500000000E-01 1.115965992E-01 2.631867537E-04
 7.500000000E-01 1.128515005E-01 2.662457991E-04
 7.500000000E-01 1.141320020E-01 2.693979768E-04
