# k-kL-MEAH2015 nondim kL and k at x=29.2468
VARIABLES = "y","kL_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 1.439316869E+00 1.721615982E+01 8.118481492E-04
 1.454409003E+00 1.641866875E+01 7.800338208E-04
 1.470009208E+00 1.559592342E+01 7.470011478E-04
 1.486134648E+00 1.474855518E+01 7.127370336E-04
 1.502803087E+00 1.387750626E+01 6.772354827E-04
 1.520033002E+00 1.298408127E+01 6.404996384E-04
 1.537843466E+00 1.207001877E+01 6.025439943E-04
 1.556254268E+00 1.113756371E+01 5.633967812E-04
 1.575285554E+00 1.018958759E+01 5.231043324E-04
 1.594958425E+00 9.229672432E+00 4.817341396E-04
 1.615294933E+00 8.262248993E+00 4.393805575E-04
 1.636317134E+00 7.292801857E+00 3.961733310E-04
 1.658048749E+00 6.327998638E+00 3.522832703E-04
 1.680513620E+00 5.376016140E+00 3.079379967E-04
 1.703736663E+00 4.446811199E+00 2.634361153E-04
 1.727743626E+00 3.552552223E+00 2.191712556E-04
 1.752561212E+00 2.708220959E+00 1.756667043E-04
 1.778216839E+00 1.932785749E+00 1.336359273E-04
 1.804738879E+00 1.251819253E+00 9.410631174E-05
 1.832156897E+00 7.010015249E-01 5.871447502E-05
 1.860501170E+00 3.172999024E-01 3.010609362E-05
 1.889803410E+00 1.063325256E-01 1.127825362E-05
 1.920095921E+00 2.314363793E-02 2.605439704E-06
 1.951412439E+00 2.548294608E-03 2.925191041E-07
 1.983787656E+00 1.035063469E-04 1.520064430E-08
 2.017257452E+00 2.373878260E-06 3.614301969E-09
 2.051859379E+00 7.402529150E-07 3.413898941E-09
 2.087631702E+00 7.218396831E-07 3.411229299E-09
 2.124613762E+00 7.217147413E-07 3.411321670E-09
 2.162847519E+00 7.217809639E-07 3.411447125E-09
 2.202374935E+00 7.218482665E-07 3.411571026E-09
 2.243240118E+00 7.219150007E-07 3.411693594E-09
 2.285488605E+00 7.219809959E-07 3.411814609E-09
 2.329167604E+00 7.220463090E-07 3.411934069E-09
 2.374325275E+00 7.221109968E-07 3.412051752E-09
 2.421012402E+00 7.221750025E-07 3.412168326E-09
 2.469280958E+00 7.222383829E-07 3.412283123E-09
 2.519184351E+00 7.223011949E-07 3.412396365E-09
 2.570778847E+00 7.223633247E-07 3.412508054E-09
 2.624121666E+00 7.224248861E-07 3.412618410E-09
 2.679272413E+00 7.224858223E-07 3.412727212E-09
 2.736292362E+00 7.225462468E-07 3.412834904E-09
 2.795245886E+00 7.226060461E-07 3.412941041E-09
 2.856198311E+00 7.226652770E-07 3.413045624E-09
 2.919217825E+00 7.227239962E-07 3.413148875E-09
 2.984375238E+00 7.227820902E-07 3.413250793E-09
 3.051743031E+00 7.228395589E-07 3.413351157E-09
 3.121397018E+00 7.228964591E-07 3.413449967E-09
 3.193414927E+00 7.229527341E-07 3.413547001E-09
 3.267877340E+00 7.230083270E-07 3.413642480E-09
 3.344867945E+00 7.230631809E-07 3.413736405E-09
 3.424473286E+00 7.231172958E-07 3.413828331E-09
 3.506781816E+00 7.231705013E-07 3.413918481E-09
 3.591886997E+00 7.232228540E-07 3.414006411E-09
 3.679883957E+00 7.232741837E-07 3.414091676E-09
 3.770871401E+00 7.233244332E-07 3.414174943E-09
 3.864952087E+00 7.233735460E-07 3.414255323E-09
 3.962231159E+00 7.234213513E-07 3.414332816E-09
 4.062819004E+00 7.234677355E-07 3.414407201E-09
 4.166828156E+00 7.235125850E-07 3.414478256E-09
 4.274375916E+00 7.235558996E-07 3.414545757E-09
 4.385583878E+00 7.235973953E-07 3.414609706E-09
 4.500577450E+00 7.236371289E-07 3.414669436E-09
 4.619486809E+00 7.236748161E-07 3.414725169E-09
 4.742445469E+00 7.237105137E-07 3.414776462E-09
 4.869592667E+00 7.237441082E-07 3.414823313E-09
 5.001072884E+00 7.237755426E-07 3.414865501E-09
 5.137034893E+00 7.238047601E-07 3.414902805E-09
 5.277632236E+00 7.238317039E-07 3.414935668E-09
 5.423024654E+00 7.238563740E-07 3.414963645E-09
 5.573377132E+00 7.238788271E-07 3.414986738E-09
 5.728860378E+00 7.238990065E-07 3.415004945E-09
 5.889651299E+00 7.239170259E-07 3.415018490E-09
 6.055932522E+00 7.239329989E-07 3.415027816E-09
 6.227894306E+00 7.239468118E-07 3.415032479E-09
 6.405731678E+00 7.239586921E-07 3.415032923E-09
 6.589647770E+00 7.239686965E-07 3.415029148E-09
 6.779852867E+00 7.239769388E-07 3.415021377E-09
 6.976564407E+00 7.239835327E-07 3.415010053E-09
 7.180006981E+00 7.239885349E-07 3.414994953E-09
 7.390414238E+00 7.239920592E-07 3.414976524E-09
 7.608026981E+00 7.239943329E-07 3.414954985E-09
 7.833095074E+00 7.239952993E-07 3.414930339E-09
 8.065877914E+00 7.239951856E-07 3.414903027E-09
 8.306641579E+00 7.239939919E-07 3.414872829E-09
 8.555665016E+00 7.239917750E-07 3.414839966E-09
 8.813235283E+00 7.239887623E-07 3.414804883E-09
 9.079649925E+00 7.239848969E-07 3.414767580E-09
 9.355215073E+00 7.239803494E-07 3.414727834E-09
 9.640253067E+00 7.239750630E-07 3.414686089E-09
 9.935091972E+00 7.239691513E-07 3.414642569E-09
 1.024007607E+01 7.239627280E-07 3.414596828E-09
 1.055555820E+01 7.239557362E-07 3.414549532E-09
 1.088190651E+01 7.239482898E-07 3.414500238E-09
 1.121950340E+01 7.239403317E-07 3.414449168E-09
 1.156874180E+01 7.239319757E-07 3.414396321E-09
 1.193003178E+01 7.239232218E-07 3.414341920E-09
 1.230379677E+01 7.239140700E-07 3.414285965E-09
 1.269047642E+01 7.239045772E-07 3.414228456E-09
 1.309052658E+01 7.238947433E-07 3.414169170E-09
 1.350441933E+01 7.238846251E-07 3.414108329E-09
 1.393264294E+01 7.238741091E-07 3.414045935E-09
 1.437570858E+01 7.238633657E-07 3.413981986E-09
 1.483413982E+01 7.238522812E-07 3.413916705E-09
 1.530848598E+01 7.238409694E-07 3.413849869E-09
 1.579931355E+01 7.238293733E-07 3.413781480E-09
 1.630721092E+01 7.238174931E-07 3.413711536E-09
 1.683278847E+01 7.238053286E-07 3.413640259E-09
 1.737668228E+01 7.237929367E-07 3.413567651E-09
 1.793955040E+01 7.237803175E-07 3.413493710E-09
 1.852207756E+01 7.237674708E-07 3.413418215E-09
 1.912497330E+01 7.237543969E-07 3.413341609E-09
 1.974898148E+01 7.237411523E-07 3.413263672E-09
 2.039486694E+01 7.237276236E-07 3.413184402E-09
 2.106342888E+01 7.237139243E-07 3.413104022E-09
 2.175550270E+01 7.237000546E-07 3.413022309E-09
 2.247195435E+01 7.236859574E-07 3.412939709E-09
 2.321368217E+01 7.236716897E-07 3.412855776E-09
 2.398162651E+01 7.236572515E-07 3.412770955E-09
 2.477676964E+01 7.236426427E-07 3.412685246E-09
 2.560013199E+01 7.236279203E-07 3.412598426E-09
 2.645277977E+01 7.236130273E-07 3.412510718E-09
 2.733582878E+01 7.235980775E-07 3.412422567E-09
 2.825044060E+01 7.235830140E-07 3.412333527E-09
 2.919783592E+01 7.235677799E-07 3.412244043E-09
 3.017928505E+01 7.235525459E-07 3.412153671E-09
 3.119612694E+01 7.235371982E-07 3.412063077E-09
 3.224975967E+01 7.235217936E-07 3.411972260E-09
 3.334165573E+01 7.235063322E-07 3.411881222E-09
 3.447335434E+01 7.234909276E-07 3.411789962E-09
 3.564648056E+01 7.234755230E-07 3.411698701E-09
 3.686274338E+01 7.234600616E-07 3.411607441E-09
 3.812394714E+01 7.234447139E-07 3.411516403E-09
 3.943199921E+01 7.234294230E-07 3.411425809E-09
 4.078890228E+01 7.234141322E-07 3.411335436E-09
 4.219678879E+01 7.233990118E-07 3.411245730E-09
 4.365792465E+01 7.233840051E-07 3.411156690E-09
