VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2013, x=0.75"
 7.500000000E-01 5.081402883E-02 4.030381012E+01
 7.500000000E-01 5.083062127E-02 4.085846329E+01
 7.500000000E-01 5.084755272E-02 4.141637802E+01
 7.500000000E-01 5.086482689E-02 4.197742462E+01
 7.500000000E-01 5.088245124E-02 4.254145813E+01
 7.500000000E-01 5.090043694E-02 4.310861588E+01
 7.500000000E-01 5.091878772E-02 4.367869186E+01
 7.500000000E-01 5.093751475E-02 4.425157928E+01
 7.500000000E-01 5.095662177E-02 4.482717133E+01
 7.500000000E-01 5.097611621E-02 4.540535736E+01
 7.500000000E-01 5.099600926E-02 4.598593140E+01
 7.500000000E-01 5.101630464E-02 4.656885529E+01
 7.500000000E-01 5.103701726E-02 4.715413284E+01
 7.500000000E-01 5.105815083E-02 4.774143600E+01
 7.500000000E-01 5.107971281E-02 4.833070755E+01
 7.500000000E-01 5.110171810E-02 4.892193985E+01
 7.500000000E-01 5.112416670E-02 4.951469040E+01
 7.500000000E-01 5.114707351E-02 5.010900497E+01
 7.500000000E-01 5.117044970E-02 5.070474625E+01
 7.500000000E-01 5.119429901E-02 5.130173874E+01
 7.500000000E-01 5.121863633E-02 5.189978027E+01
 7.500000000E-01 5.124346912E-02 5.249874878E+01
 7.500000000E-01 5.126880854E-02 5.309857941E+01
 7.500000000E-01 5.129466206E-02 5.369887924E+01
 7.500000000E-01 5.132104084E-02 5.429951859E+01
 7.500000000E-01 5.134795979E-02 5.490048599E+01
 7.500000000E-01 5.137542635E-02 5.550146484E+01
 7.500000000E-01 5.140345171E-02 5.610224533E+01
 7.500000000E-01 5.143205076E-02 5.670271683E+01
 7.500000000E-01 5.146122724E-02 5.730258560E+01
 7.500000000E-01 5.149100348E-02 5.790176773E+01
 7.500000000E-01 5.152138323E-02 5.849993896E+01
 7.500000000E-01 5.155238137E-02 5.909691620E+01
 7.500000000E-01 5.158401281E-02 5.969247818E+01
 7.500000000E-01 5.161628872E-02 6.028644562E+01
 7.500000000E-01 5.164922029E-02 6.087854767E+01
 7.500000000E-01 5.168282241E-02 6.146855164E+01
 7.500000000E-01 5.171710998E-02 6.205622101E+01
 7.500000000E-01 5.175209790E-02 6.264135742E+01
 7.500000000E-01 5.178779736E-02 6.322361755E+01
 7.500000000E-01 5.182422325E-02 6.380281448E+01
 7.500000000E-01 5.186139047E-02 6.437863922E+01
 7.500000000E-01 5.189931393E-02 6.495082855E+01
 7.500000000E-01 5.193801224E-02 6.551914215E+01
 7.500000000E-01 5.197750032E-02 6.608328247E+01
 7.500000000E-01 5.201778933E-02 6.664293671E+01
 7.500000000E-01 5.205890164E-02 6.719786835E+01
 7.500000000E-01 5.210085213E-02 6.774769592E+01
 7.500000000E-01 5.214365572E-02 6.829212952E+01
 7.500000000E-01 5.218733102E-02 6.883088684E+01
 7.500000000E-01 5.223189294E-02 6.936354828E+01
 7.500000000E-01 5.227736756E-02 6.988988495E+01
 7.500000000E-01 5.232376605E-02 7.040947723E+01
 7.500000000E-01 5.237111077E-02 7.092200470E+01
 7.500000000E-01 5.241942033E-02 7.142706299E+01
 7.500000000E-01 5.246871337E-02 7.192425537E+01
 7.500000000E-01 5.251901224E-02 7.241320038E+01
 7.500000000E-01 5.257033557E-02 7.289349365E+01
 7.500000000E-01 5.262270197E-02 7.336470032E+01
 7.500000000E-01 5.267613754E-02 7.382638550E+01
 7.500000000E-01 5.273066089E-02 7.427805328E+01
 7.500000000E-01 5.278629437E-02 7.471925354E+01
 7.500000000E-01 5.284306034E-02 7.514945984E+01
 7.500000000E-01 5.290098488E-02 7.556817627E+01
 7.500000000E-01 5.296008661E-02 7.597483826E+01
 7.500000000E-01 5.302039534E-02 7.636888885E+01
 7.500000000E-01 5.308193341E-02 7.674972534E+01
 7.500000000E-01 5.314472318E-02 7.711670685E+01
 7.500000000E-01 5.320879072E-02 7.746919250E+01
 7.500000000E-01 5.327416584E-02 7.780649567E+01
 7.500000000E-01 5.334087461E-02 7.812788391E+01
 7.500000000E-01 5.340893939E-02 7.843258667E+01
 7.500000000E-01 5.347838998E-02 7.871981812E+01
 7.500000000E-01 5.354925618E-02 7.898873901E+01
 7.500000000E-01 5.362156779E-02 7.923844910E+01
 7.500000000E-01 5.369535089E-02 7.946802521E+01
 7.500000000E-01 5.377063900E-02 7.967649078E+01
 7.500000000E-01 5.384745821E-02 7.986279297E+01
 7.500000000E-01 5.392584577E-02 8.002585602E+01
 7.500000000E-01 5.400582775E-02 8.016452026E+01
 7.500000000E-01 5.408744141E-02 8.027758789E+01
 7.500000000E-01 5.417071283E-02 8.036376953E+01
 7.500000000E-01 5.425568670E-02 8.042173004E+01
 7.500000000E-01 5.434238911E-02 8.045005798E+01
 7.500000000E-01 5.443085730E-02 8.044727325E+01
 7.500000000E-01 5.452112854E-02 8.041181183E+01
 7.500000000E-01 5.461324006E-02 8.034201813E+01
 7.500000000E-01 5.470722541E-02 8.023619080E+01
 7.500000000E-01 5.480312556E-02 8.009251404E+01
 7.500000000E-01 5.490098149E-02 7.990908051E+01
 7.500000000E-01 5.500083044E-02 7.968391418E+01
 7.500000000E-01 5.510271341E-02 7.941493988E+01
 7.500000000E-01 5.520667136E-02 7.909999084E+01
 7.500000000E-01 5.531274900E-02 7.873677826E+01
 7.500000000E-01 5.542098731E-02 7.832295227E+01
 7.500000000E-01 5.553143099E-02 7.785603333E+01
 7.500000000E-01 5.564412102E-02 7.733347321E+01
 7.500000000E-01 5.575910956E-02 7.675257111E+01
 7.500000000E-01 5.587644130E-02 7.611056519E+01
 7.500000000E-01 5.599616468E-02 7.540458679E+01
 7.500000000E-01 5.611832440E-02 7.463166809E+01
 7.500000000E-01 5.624297261E-02 7.378873444E+01
 7.500000000E-01 5.637016147E-02 7.287260437E+01
 7.500000000E-01 5.649994314E-02 7.188002014E+01
 7.500000000E-01 5.663236603E-02 7.080763245E+01
 7.500000000E-01 5.676748976E-02 6.965196228E+01
 7.500000000E-01 5.690536276E-02 6.840957642E+01
 7.500000000E-01 5.704604834E-02 6.707680511E+01
 7.500000000E-01 5.718959868E-02 6.565004730E+01
 7.500000000E-01 5.733607337E-02 6.412560272E+01
 7.500000000E-01 5.748553202E-02 6.249973679E+01
 7.500000000E-01 5.763803422E-02 6.076873016E+01
 7.500000000E-01 5.779364333E-02 5.892884445E+01
 7.500000000E-01 5.795242637E-02 5.697634506E+01
 7.500000000E-01 5.811443925E-02 5.490767288E+01
 7.500000000E-01 5.827975646E-02 5.271921921E+01
 7.500000000E-01 5.844844133E-02 5.040766525E+01
 7.500000000E-01 5.862056091E-02 4.796985245E+01
 7.500000000E-01 5.879618600E-02 4.540287018E+01
 7.500000000E-01 5.897539482E-02 4.270404053E+01
 7.500000000E-01 5.915825069E-02 3.987136841E+01
 7.500000000E-01 5.934483185E-02 3.690305328E+01
 7.500000000E-01 5.953521281E-02 3.379786301E+01
 7.500000000E-01 5.972947553E-02 3.055484200E+01
 7.500000000E-01 5.992769450E-02 2.717303085E+01
 7.500000000E-01 6.012995169E-02 2.365003395E+01
 7.500000000E-01 6.033632904E-02 1.997956467E+01
 7.500000000E-01 6.054691225E-02 1.614703751E+01
 7.500000000E-01 6.076178327E-02 1.213411808E+01
 7.500000000E-01 6.098103523E-02 8.011174202E+00
 7.500000000E-01 6.120475009E-02 4.241619587E+00
 7.500000000E-01 6.143302470E-02 1.699976802E+00
 7.500000000E-01 6.166595221E-02 6.037792563E-01
 7.500000000E-01 6.190362200E-02 2.911619246E-01
 7.500000000E-01 6.214613467E-02 2.128269672E-01
 7.500000000E-01 6.239358708E-02 1.924444735E-01
 7.500000000E-01 6.264608353E-02 1.872600764E-01
 7.500000000E-01 6.290372461E-02 1.862910688E-01
 7.500000000E-01 6.316661090E-02 1.865001470E-01
 7.500000000E-01 6.343485415E-02 1.870259345E-01
 7.500000000E-01 6.370855868E-02 1.876239628E-01
 7.500000000E-01 6.398784369E-02 1.882258505E-01
 7.500000000E-01 6.427282095E-02 1.888131201E-01
 7.500000000E-01 6.456360221E-02 1.893813163E-01
 7.500000000E-01 6.486030668E-02 1.899298579E-01
 7.500000000E-01 6.516305357E-02 1.904590875E-01
 7.500000000E-01 6.547196954E-02 1.909696758E-01
 7.500000000E-01 6.578718126E-02 1.914622635E-01
 7.500000000E-01 6.610881537E-02 1.919375360E-01
 7.500000000E-01 6.643699855E-02 1.923961490E-01
 7.500000000E-01 6.677187234E-02 1.928386986E-01
 7.500000000E-01 6.711356342E-02 1.932658255E-01
 7.500000000E-01 6.746221334E-02 1.936780810E-01
 7.500000000E-01 6.781797111E-02 1.940760612E-01
 7.500000000E-01 6.818097830E-02 1.944603175E-01
 7.500000000E-01 6.855138391E-02 1.948313415E-01
 7.500000000E-01 6.892932951E-02 1.951896846E-01
 7.500000000E-01 6.931497902E-02 1.955357939E-01
 7.500000000E-01 6.970848143E-02 1.958701909E-01
 7.500000000E-01 7.011000067E-02 1.961932927E-01
 7.500000000E-01 7.051970065E-02 1.965055615E-01
 7.500000000E-01 7.093774527E-02 1.968074143E-01
 7.500000000E-01 7.136431336E-02 1.970992684E-01
 7.500000000E-01 7.179956883E-02 1.973814964E-01
 7.500000000E-01 7.224369049E-02 1.976545155E-01
 7.500000000E-01 7.269686460E-02 1.979186684E-01
 7.500000000E-01 7.315926254E-02 1.981743127E-01
 7.500000000E-01 7.363108546E-02 1.984217912E-01
 7.500000000E-01 7.411251962E-02 1.986614317E-01
 7.500000000E-01 7.460376620E-02 1.988935471E-01
 7.500000000E-01 7.510501891E-02 1.991184354E-01
 7.500000000E-01 7.561648637E-02 1.993364096E-01
 7.500000000E-01 7.613836974E-02 1.995477229E-01
 7.500000000E-01 7.667088509E-02 1.997526586E-01
 7.500000000E-01 7.721424848E-02 1.999514699E-01
 7.500000000E-01 7.776868343E-02 2.001444250E-01
 7.500000000E-01 7.833441347E-02 2.003317475E-01
 7.500000000E-01 7.891167700E-02 2.005136758E-01
 7.500000000E-01 7.950069010E-02 2.006904185E-01
 7.500000000E-01 8.010170609E-02 2.008622289E-01
 7.500000000E-01 8.071497083E-02 2.010292709E-01
 7.500000000E-01 8.134072274E-02 2.011917531E-01
 7.500000000E-01 8.197923005E-02 2.013498694E-01
 7.500000000E-01 8.263073862E-02 2.015037984E-01
 7.500000000E-01 8.329552412E-02 2.016537189E-01
 7.500000000E-01 8.397385478E-02 2.017997950E-01
 7.500000000E-01 8.466600627E-02 2.019422054E-01
 7.500000000E-01 8.537225425E-02 2.020810694E-01
 7.500000000E-01 8.609288931E-02 2.022165656E-01
 7.500000000E-01 8.682820946E-02 2.023488283E-01
 7.500000000E-01 8.757851273E-02 2.024779916E-01
 7.500000000E-01 8.834409714E-02 2.026041895E-01
 7.500000000E-01 8.912528306E-02 2.027275413E-01
 7.500000000E-01 8.992238343E-02 2.028481811E-01
 7.500000000E-01 9.073571861E-02 2.029662132E-01
 7.500000000E-01 9.156563133E-02 2.030817419E-01
 7.500000000E-01 9.241244197E-02 2.031948864E-01
 7.500000000E-01 9.327650815E-02 2.033057362E-01
 7.500000000E-01 9.415818006E-02 2.034143955E-01
 7.500000000E-01 9.505781531E-02 2.035209537E-01
 7.500000000E-01 9.597577900E-02 2.036255151E-01
 7.500000000E-01 9.691244364E-02 2.037281394E-01
 7.500000000E-01 9.786818922E-02 2.038289160E-01
 7.500000000E-01 9.884340316E-02 2.039279193E-01
 7.500000000E-01 9.983849525E-02 2.040252388E-01
 7.500000000E-01 1.008538529E-01 2.041209340E-01
 7.500000000E-01 1.018898934E-01 2.042150795E-01
 7.500000000E-01 1.029470488E-01 2.043077201E-01
 7.500000000E-01 1.040257365E-01 2.043989301E-01
 7.500000000E-01 1.051264033E-01 2.044887692E-01
 7.500000000E-01 1.062494889E-01 2.045772821E-01
 7.500000000E-01 1.073954627E-01 2.046645284E-01
 7.500000000E-01 1.085647792E-01 2.047505528E-01
 7.500000000E-01 1.097579151E-01 2.048354149E-01
 7.500000000E-01 1.109753624E-01 2.049191594E-01
 7.500000000E-01 1.122176126E-01 2.050018013E-01
 7.500000000E-01 1.134851724E-01 2.050834000E-01
 7.500000000E-01 1.147785485E-01 2.051640004E-01
 7.500000000E-01 1.160982847E-01 2.052436322E-01
 7.500000000E-01 1.174449027E-01 2.053223252E-01
 7.500000000E-01 1.188189536E-01 2.054001093E-01
 7.500000000E-01 1.202210039E-01 2.054770142E-01
 7.500000000E-01 1.216516122E-01 2.055530697E-01
 7.500000000E-01 1.231113747E-01 2.056283057E-01
 7.500000000E-01 1.246008649E-01 2.057027370E-01
 7.500000000E-01 1.261207163E-01 2.057764083E-01
 7.500000000E-01 1.276715100E-01 2.058493048E-01
 7.500000000E-01 1.292539090E-01 2.059214711E-01
 7.500000000E-01 1.308685541E-01 2.059929371E-01
 7.500000000E-01 1.325160861E-01 2.060636878E-01
 7.500000000E-01 1.341971904E-01 2.061337531E-01
 7.500000000E-01 1.359125376E-01 2.062031627E-01
 7.500000000E-01 1.376628280E-01 2.062719017E-01
 7.500000000E-01 1.394487768E-01 2.063400000E-01
 7.500000000E-01 1.412711143E-01 2.064074725E-01
 7.500000000E-01 1.431305856E-01 2.064743042E-01
 7.500000000E-01 1.450279355E-01 2.065405399E-01
 7.500000000E-01 1.469639242E-01 2.066061497E-01
 7.500000000E-01 1.489393711E-01 2.066711634E-01
 7.500000000E-01 1.509550661E-01 2.067355812E-01
 7.500000000E-01 1.530118138E-01 2.067994177E-01
 7.500000000E-01 1.551104784E-01 2.068626583E-01
 7.500000000E-01 1.572518945E-01 2.069253176E-01
 7.500000000E-01 1.594369262E-01 2.069873959E-01
 7.500000000E-01 1.616664827E-01 2.070488930E-01
 7.500000000E-01 1.639414728E-01 2.071098238E-01
 7.500000000E-01 1.662627906E-01 2.071701735E-01
 7.500000000E-01 1.686314195E-01 2.072299570E-01
 7.500000000E-01 1.710482836E-01 2.072891593E-01
 7.500000000E-01 1.735143960E-01 2.073477805E-01
 7.500000000E-01 1.760307550E-01 2.074058354E-01
 7.500000000E-01 1.785983741E-01 2.074633092E-01
 7.500000000E-01 1.812183112E-01 2.075202167E-01
 7.500000000E-01 1.838916242E-01 2.075765282E-01
 7.500000000E-01 1.866193861E-01 2.076322585E-01
 7.500000000E-01 1.894027293E-01 2.076874077E-01
 7.500000000E-01 1.922427863E-01 2.077419758E-01
 7.500000000E-01 1.951406896E-01 2.077959478E-01
 7.500000000E-01 1.980976462E-01 2.078493237E-01
 7.500000000E-01 2.011148334E-01 2.079021037E-01
 7.500000000E-01 2.041934878E-01 2.079542875E-01
 7.500000000E-01 2.073348761E-01 2.080058753E-01
 7.500000000E-01 2.105402499E-01 2.080568522E-01
 7.500000000E-01 2.138109356E-01 2.081072032E-01
 7.500000000E-01 2.171482444E-01 2.081569582E-01
 7.500000000E-01 2.205535620E-01 2.082060874E-01
 7.500000000E-01 2.240282446E-01 2.082546055E-01
 7.500000000E-01 2.275737077E-01 2.083024830E-01
 7.500000000E-01 2.311914265E-01 2.083497494E-01
 7.500000000E-01 2.348828316E-01 2.083963901E-01
 7.500000000E-01 2.386494428E-01 2.084423900E-01
 7.500000000E-01 2.424927950E-01 2.084877640E-01
 7.500000000E-01 2.464144379E-01 2.085324973E-01
 7.500000000E-01 2.504159808E-01 2.085765898E-01
 7.500000000E-01 2.544990480E-01 2.086200267E-01
 7.500000000E-01 2.586653233E-01 2.086628377E-01
 7.500000000E-01 2.629164457E-01 2.087049931E-01
 7.500000000E-01 2.672542036E-01 2.087465078E-01
 7.500000000E-01 2.716802955E-01 2.087873667E-01
 7.500000000E-01 2.761965990E-01 2.088275850E-01
 7.500000000E-01 2.808049023E-01 2.088671476E-01
 7.500000000E-01 2.855070829E-01 2.089060545E-01
 7.500000000E-01 2.903050482E-01 2.089443207E-01
 7.500000000E-01 2.952007949E-01 2.089819312E-01
 7.500000000E-01 3.001962602E-01 2.090188861E-01
