# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -6.322246511E-03 1.723927911E-03
 1.009999990E+00 -6.115152966E-03 1.723528258E-03
 1.009999990E+00 -5.914971232E-03 1.722423360E-03
 1.009999990E+00 -5.721468013E-03 1.720672240E-03
 1.009999990E+00 -5.534418393E-03 1.718339976E-03
 1.009999990E+00 -5.353605375E-03 1.715485356E-03
 1.009999990E+00 -5.178818014E-03 1.712160069E-03
 1.009999990E+00 -5.009854678E-03 1.708422322E-03
 1.009999990E+00 -4.846517928E-03 1.704326249E-03
 1.009999990E+00 -4.688618705E-03 1.699931687E-03
 1.009999990E+00 -4.535974469E-03 1.695295679E-03
 1.009999990E+00 -4.388407338E-03 1.690476318E-03
 1.009999990E+00 -4.245747346E-03 1.685536234E-03
 1.009999990E+00 -4.107828252E-03 1.680526650E-03
 1.009999990E+00 -3.974491265E-03 1.675501466E-03
 1.009999990E+00 -3.845581785E-03 1.670514815E-03
 1.009999990E+00 -3.720950801E-03 1.665624208E-03
 1.009999990E+00 -3.600454656E-03 1.660881215E-03
 1.009999990E+00 -3.483953886E-03 1.656329841E-03
 1.009999990E+00 -3.371314146E-03 1.652018633E-03
 1.009999990E+00 -3.262405749E-03 1.647996483E-03
 1.009999990E+00 -3.157103201E-03 1.644311589E-03
 1.009999990E+00 -3.055284964E-03 1.641004928E-03
 1.009999990E+00 -2.956833923E-03 1.638129354E-03
 1.009999990E+00 -2.861637156E-03 1.635735505E-03
 1.009999990E+00 -2.769585000E-03 1.633872045E-03
 1.009999990E+00 -2.680571983E-03 1.632586704E-03
 1.009999990E+00 -2.594495658E-03 1.631926629E-03
 1.009999990E+00 -2.511257771E-03 1.631947234E-03
 1.009999990E+00 -2.430762630E-03 1.632680185E-03
 1.009999990E+00 -2.352918033E-03 1.634162501E-03
 1.009999990E+00 -2.277635271E-03 1.636423054E-03
 1.009999990E+00 -2.204828197E-03 1.639483729E-03
 1.009999990E+00 -2.134413458E-03 1.643355004E-03
 1.009999990E+00 -2.066311194E-03 1.648038393E-03
 1.009999990E+00 -2.000443172E-03 1.653519808E-03
 1.009999990E+00 -1.936735003E-03 1.659767586E-03
 1.009999990E+00 -1.875113929E-03 1.666742261E-03
 1.009999990E+00 -1.815509866E-03 1.674373285E-03
 1.009999990E+00 -1.757855178E-03 1.682581729E-03
 1.009999990E+00 -1.702084555E-03 1.691273414E-03
 1.009999990E+00 -1.648134785E-03 1.700334949E-03
 1.009999990E+00 -1.595944748E-03 1.709639095E-03
 1.009999990E+00 -1.545455540E-03 1.719050459E-03
 1.009999990E+00 -1.496609999E-03 1.728419913E-03
 1.009999990E+00 -1.449353062E-03 1.737594488E-03
 1.009999990E+00 -1.403631642E-03 1.746421098E-03
 1.009999990E+00 -1.359393937E-03 1.754739671E-03
 1.009999990E+00 -1.316590584E-03 1.762397471E-03
 1.009999990E+00 -1.275173272E-03 1.769248862E-03
 1.009999990E+00 -1.235095784E-03 1.775161130E-03
 1.009999990E+00 -1.196312951E-03 1.780006220E-03
 1.009999990E+00 -1.158781582E-03 1.783672487E-03
 1.009999990E+00 -1.122459769E-03 1.786062261E-03
 1.009999990E+00 -1.087306882E-03 1.787095331E-03
 1.009999990E+00 -1.053283806E-03 1.786707551E-03
 1.009999990E+00 -1.020352705E-03 1.784852706E-03
 1.009999990E+00 -9.884770261E-04 1.781501225E-03
 1.009999990E+00 -9.576214361E-04 1.776639954E-03
 1.009999990E+00 -9.277517092E-04 1.770269941E-03
 1.009999990E+00 -8.988348418E-04 1.762407715E-03
 1.009999990E+00 -8.708388777E-04 1.753081684E-03
 1.009999990E+00 -8.437330252E-04 1.742332126E-03
 1.009999990E+00 -8.174874238E-04 1.730209100E-03
 1.009999990E+00 -7.920732605E-04 1.716771745E-03
 1.009999990E+00 -7.674626540E-04 1.702084905E-03
