# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SA model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.594495658E-03 5.413753390E-01
 1.009999990E+00 -2.511257771E-03 5.374271274E-01
 1.009999990E+00 -2.430762630E-03 5.334965587E-01
 1.009999990E+00 -2.352918033E-03 5.295830369E-01
 1.009999990E+00 -2.277635271E-03 5.256865025E-01
 1.009999990E+00 -2.204828197E-03 5.218074918E-01
 1.009999990E+00 -2.134413458E-03 5.179470181E-01
 1.009999990E+00 -2.066311194E-03 5.141066313E-01
 1.009999990E+00 -2.000443172E-03 5.102882981E-01
 1.009999990E+00 -1.936735003E-03 5.064947605E-01
 1.009999990E+00 -1.875113929E-03 5.027287602E-01
 1.009999990E+00 -1.815509866E-03 4.989936352E-01
 1.009999990E+00 -1.757855178E-03 4.952931106E-01
 1.009999990E+00 -1.702084555E-03 4.916310012E-01
 1.009999990E+00 -1.648134785E-03 4.880113304E-01
 1.009999990E+00 -1.595944748E-03 4.844383299E-01
 1.009999990E+00 -1.545455540E-03 4.809160829E-01
 1.009999990E+00 -1.496609999E-03 4.774487615E-01
 1.009999990E+00 -1.449353062E-03 4.740404487E-01
 1.009999990E+00 -1.403631642E-03 4.706950486E-01
 1.009999990E+00 -1.359393937E-03 4.674160779E-01
 1.009999990E+00 -1.316590584E-03 4.642070532E-01
 1.009999990E+00 -1.275173272E-03 4.610711634E-01
 1.009999990E+00 -1.235095784E-03 4.580105543E-01
 1.009999990E+00 -1.196312951E-03 4.550282061E-01
 1.009999990E+00 -1.158781582E-03 4.521261156E-01
 1.009999990E+00 -1.122459769E-03 4.493061900E-01
 1.009999990E+00 -1.087306882E-03 4.465695322E-01
 1.009999990E+00 -1.053283806E-03 4.439173341E-01
 1.009999990E+00 -1.020352705E-03 4.413500130E-01
 1.009999990E+00 -9.884770261E-04 4.388679266E-01
 1.009999990E+00 -9.576214361E-04 4.364711344E-01
 1.009999990E+00 -9.277517092E-04 4.341588914E-01
 1.009999990E+00 -8.988348418E-04 4.319311380E-01
 1.009999990E+00 -8.708388777E-04 4.297859967E-01
 1.009999990E+00 -8.437330252E-04 4.277232289E-01
 1.009999990E+00 -8.174874238E-04 4.257411957E-01
 1.009999990E+00 -7.920732605E-04 4.238383174E-01
 1.009999990E+00 -7.674626540E-04 4.220124781E-01
 1.009999990E+00 -7.436286542E-04 4.202626944E-01
 1.009999990E+00 -7.205452421E-04 4.185861349E-01
 1.009999990E+00 -6.981872721E-04 4.169814289E-01
 1.009999990E+00 -6.765303551E-04 4.154459536E-01
 1.009999990E+00 -6.555509754E-04 4.139770567E-01
 1.009999990E+00 -6.352264318E-04 4.125733376E-01
 1.009999990E+00 -6.155346637E-04 4.112327099E-01
 1.009999990E+00 -5.964544252E-04 4.099518955E-01
 1.009999990E+00 -5.779651692E-04 4.087292850E-01
 1.009999990E+00 -5.600470467E-04 4.075625241E-01
 1.009999990E+00 -5.426807911E-04 4.064490795E-01
 1.009999990E+00 -5.258478341E-04 4.053868055E-01
 1.009999990E+00 -5.095301894E-04 4.043741226E-01
 1.009999990E+00 -4.937105114E-04 4.034089744E-01
 1.009999990E+00 -4.783718905E-04 4.024881124E-01
 1.009999990E+00 -4.634981742E-04 4.016104639E-01
 1.009999990E+00 -4.490735591E-04 4.007743299E-01
 1.009999990E+00 -4.350828531E-04 3.999771476E-01
 1.009999990E+00 -4.215113586E-04 3.992169201E-01
 1.009999990E+00 -4.083447857E-04 3.984927237E-01
 1.009999990E+00 -3.955693974E-04 3.978023231E-01
 1.009999990E+00 -3.831718350E-04 3.971444070E-01
 1.009999990E+00 -3.711392346E-04 3.965170979E-01
 1.009999990E+00 -3.594591108E-04 3.959191442E-01
 1.009999990E+00 -3.481193271E-04 3.953491151E-01
 1.009999990E+00 -3.371082421E-04 3.948055804E-01
 1.009999990E+00 -3.264145344E-04 3.942873180E-01
 1.009999990E+00 -3.160272317E-04 3.937924504E-01
 1.009999990E+00 -3.059357114E-04 3.933205307E-01
 1.009999990E+00 -2.961296996E-04 3.928699493E-01
 1.009999990E+00 -2.865992719E-04 3.924404085E-01
 1.009999990E+00 -2.773347951E-04 3.920295537E-01
 1.009999990E+00 -2.683268976E-04 3.916379213E-01
 1.009999990E+00 -2.595665574E-04 3.912633657E-01
 1.009999990E+00 -2.510449849E-04 3.909055889E-01
 1.009999990E+00 -2.427537402E-04 3.905639052E-01
 1.009999990E+00 -2.346845286E-04 3.902369738E-01
 1.009999990E+00 -2.268294047E-04 3.899241388E-01
 1.009999990E+00 -2.191806125E-04 3.896250427E-01
 1.009999990E+00 -2.117306431E-04 3.893390596E-01
 1.009999990E+00 -2.044722060E-04 3.890645802E-01
 1.009999990E+00 -1.973982435E-04 3.888017535E-01
 1.009999990E+00 -1.905019017E-04 3.885501623E-01
 1.009999990E+00 -1.837765012E-04 3.883091509E-01
 1.009999990E+00 -1.772155811E-04 3.880777657E-01
 1.009999990E+00 -1.708128548E-04 3.878555000E-01
 1.009999990E+00 -1.645622397E-04 3.876422942E-01
 1.009999990E+00 -1.584577694E-04 3.874377012E-01
 1.009999990E+00 -1.524936815E-04 3.872413635E-01
 1.009999990E+00 -1.466643589E-04 3.870522976E-01
 1.009999990E+00 -1.409643592E-04 3.868706524E-01
 1.009999990E+00 -1.353883417E-04 3.866955638E-01
 1.009999990E+00 -1.299311552E-04 3.865274787E-01
 1.009999990E+00 -1.245877211E-04 3.863654137E-01
 1.009999990E+00 -1.193531352E-04 3.862088621E-01
 1.009999990E+00 -1.142226029E-04 3.860579133E-01
 1.009999990E+00 -1.091914455E-04 3.859129250E-01
 1.009999990E+00 -1.042550866E-04 3.857721686E-01
 1.009999990E+00 -9.940905875E-05 3.856371641E-01
 1.009999990E+00 -9.464901086E-05 3.855060041E-01
 1.009999990E+00 -8.997067198E-05 3.853791356E-01
 1.009999990E+00 -8.536985843E-05 3.852564991E-01
 1.009999990E+00 -8.084248839E-05 3.851378262E-01
 1.009999990E+00 -7.638454554E-05 3.850224018E-01
 1.009999990E+00 -7.199210813E-05 3.849111199E-01
 1.009999990E+00 -6.766131264E-05 3.848032653E-01
 1.009999990E+00 -6.338836829E-05 3.846976459E-01
 1.009999990E+00 -5.916956070E-05 3.845960200E-01
 1.009999990E+00 -5.500121188E-05 3.844964206E-01
 1.009999990E+00 -5.087972022E-05 3.844005466E-01
 1.009999990E+00 -4.680152415E-05 3.843063414E-01
 1.009999990E+00 -4.276312029E-05 3.842150569E-01
 1.009999990E+00 -3.876104165E-05 3.841262162E-01
 1.009999990E+00 -3.479186489E-05 3.840391338E-01
 1.009999990E+00 -3.085220305E-05 3.839541376E-01
 1.009999990E+00 -2.693869828E-05 3.838717341E-01
 1.009999990E+00 -2.304802729E-05 3.837907016E-01
 1.009999990E+00 -1.917689042E-05 3.837115467E-01
 1.009999990E+00 -1.532200804E-05 3.836340904E-01
 1.009999990E+00 -1.148011779E-05 3.835583329E-01
 1.009999990E+00 -7.647975508E-06 3.834840953E-01
 1.009999990E+00 -3.822345661E-06 3.834113777E-01
 1.009999990E+00 0.000000000E+00 3.833423257E-01
 1.009999990E+00 3.822347935E-06 3.832702935E-01
 1.009999990E+00 7.647980055E-06 3.832017779E-01
 1.009999990E+00 1.148012416E-05 3.831345141E-01
 1.009999990E+00 1.532201532E-05 3.830684423E-01
 1.009999990E+00 1.917690133E-05 3.830035627E-01
 1.009999990E+00 2.304804002E-05 3.829397559E-01
 1.009999990E+00 2.693871284E-05 3.828770816E-01
 1.009999990E+00 3.085221761E-05 3.828149438E-01
 1.009999990E+00 3.479188308E-05 3.827543855E-01
 1.009999990E+00 3.876106348E-05 3.826948106E-01
 1.009999990E+00 4.276314212E-05 3.826357424E-01
 1.009999990E+00 4.680154962E-05 3.825777173E-01
 1.009999990E+00 5.087974569E-05 3.825211227E-01
 1.009999990E+00 5.500124098E-05 3.824645877E-01
 1.009999990E+00 5.916958980E-05 3.824100196E-01
 1.009999990E+00 6.338840467E-05 3.823555112E-01
 1.009999990E+00 6.766134902E-05 3.823029697E-01
 1.009999990E+00 7.199214451E-05 3.822504580E-01
 1.009999990E+00 7.638458919E-05 3.821990788E-01
 1.009999990E+00 8.084253204E-05 3.821492791E-01
 1.009999990E+00 8.536990208E-05 3.821001351E-01
 1.009999990E+00 8.997071563E-05 3.820521533E-01
 1.009999990E+00 9.464906179E-05 3.820054531E-01
 1.009999990E+00 9.940911696E-05 3.819599748E-01
 1.009999990E+00 1.042551376E-04 3.819149733E-01
 1.009999990E+00 1.091915037E-04 3.818722665E-01
 1.009999990E+00 1.142226683E-04 3.818302155E-01
 1.009999990E+00 1.193532007E-04 3.817902803E-01
 1.009999990E+00 1.245877793E-04 3.817519844E-01
 1.009999990E+00 1.299312280E-04 3.817150295E-01
 1.009999990E+00 1.353884290E-04 3.816795945E-01
 1.009999990E+00 1.409644319E-04 3.816467226E-01
 1.009999990E+00 1.466644462E-04 3.816154897E-01
 1.009999990E+00 1.524937543E-04 3.815867603E-01
 1.009999990E+00 1.584578567E-04 3.815600276E-01
 1.009999990E+00 1.645623270E-04 3.815360367E-01
 1.009999990E+00 1.708129566E-04 3.815150559E-01
 1.009999990E+00 1.772156829E-04 3.814971447E-01
 1.009999990E+00 1.837766031E-04 3.814821243E-01
 1.009999990E+00 1.905020035E-04 3.814702332E-01
 1.009999990E+00 1.973983599E-04 3.814622462E-01
 1.009999990E+00 2.044723224E-04 3.814584315E-01
 1.009999990E+00 2.117307595E-04 3.814589977E-01
 1.009999990E+00 2.191807289E-04 3.814634085E-01
 1.009999990E+00 2.268295357E-04 3.814729750E-01
 1.009999990E+00 2.346846741E-04 3.814880550E-01
 1.009999990E+00 2.427538711E-04 3.815085590E-01
 1.009999990E+00 2.510451304E-04 3.815348446E-01
 1.009999990E+00 2.595667029E-04 3.815679550E-01
 1.009999990E+00 2.683270432E-04 3.816081882E-01
 1.009999990E+00 2.773349406E-04 3.816552758E-01
 1.009999990E+00 2.865994466E-04 3.817111850E-01
 1.009999990E+00 2.961298742E-04 3.817747533E-01
 1.009999990E+00 3.059358860E-04 3.818479776E-01
 1.009999990E+00 3.160274064E-04 3.819307685E-01
 1.009999990E+00 3.264147381E-04 3.820241392E-01
 1.009999990E+00 3.371084458E-04 3.821280599E-01
 1.009999990E+00 3.481195308E-04 3.822438717E-01
 1.009999990E+00 3.594593145E-04 3.823723793E-01
 1.009999990E+00 3.711394675E-04 3.825143576E-01
 1.009999990E+00 3.831720969E-04 3.826707602E-01
 1.009999990E+00 3.955696302E-04 3.828421235E-01
 1.009999990E+00 4.083450476E-04 3.830298185E-01
 1.009999990E+00 4.215116205E-04 3.832345307E-01
 1.009999990E+00 4.350831150E-04 3.834578395E-01
 1.009999990E+00 4.490738502E-04 3.836999238E-01
 1.009999990E+00 4.634984653E-04 3.839621246E-01
 1.009999990E+00 4.783722106E-04 3.842464685E-01
 1.009999990E+00 4.937108024E-04 3.845539093E-01
 1.009999990E+00 5.095305387E-04 3.848845065E-01
 1.009999990E+00 5.258481833E-04 3.852412403E-01
 1.009999990E+00 5.426811404E-04 3.856253326E-01
 1.009999990E+00 5.600473960E-04 3.860376179E-01
 1.009999990E+00 5.779655767E-04 3.864794672E-01
 1.009999990E+00 5.964548327E-04 3.869524598E-01
 1.009999990E+00 6.155350711E-04 3.874589503E-01
 1.009999990E+00 6.352268392E-04 3.879998326E-01
 1.009999990E+00 6.555513828E-04 3.885762691E-01
 1.009999990E+00 6.765308208E-04 3.891919553E-01
 1.009999990E+00 6.981877377E-04 3.898464143E-01
 1.009999990E+00 7.205457659E-04 3.905423284E-01
 1.009999990E+00 7.436291780E-04 3.912820816E-01
 1.009999990E+00 7.674631779E-04 3.920662403E-01
 1.009999990E+00 7.920737844E-04 3.928980231E-01
 1.009999990E+00 8.174880059E-04 3.937777281E-01
 1.009999990E+00 8.437336073E-04 3.947081268E-01
 1.009999990E+00 8.708394598E-04 3.956915438E-01
 1.009999990E+00 8.988354239E-04 3.967284560E-01
 1.009999990E+00 9.277523495E-04 3.978213370E-01
 1.009999990E+00 9.576220764E-04 3.989713490E-01
