# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -8.830745704E-03 7.072061300E-01
 1.009999990E+00 -8.539792150E-03 7.009112239E-01
 1.009999990E+00 -8.258575574E-03 6.947661638E-01
 1.009999990E+00 -7.986768149E-03 6.887622476E-01
 1.009999990E+00 -7.724053692E-03 6.828919649E-01
 1.009999990E+00 -7.470124401E-03 6.771467924E-01
 1.009999990E+00 -7.224685047E-03 6.715198159E-01
 1.009999990E+00 -6.987449713E-03 6.660044789E-01
 1.009999990E+00 -6.758141331E-03 6.605940461E-01
 1.009999990E+00 -6.536493078E-03 6.552829742E-01
 1.009999990E+00 -6.322246511E-03 6.500660777E-01
 1.009999990E+00 -6.115152966E-03 6.449386477E-01
 1.009999990E+00 -5.914971232E-03 6.398962140E-01
 1.009999990E+00 -5.721468013E-03 6.349339485E-01
 1.009999990E+00 -5.534418393E-03 6.300476193E-01
 1.009999990E+00 -5.353605375E-03 6.252334118E-01
 1.009999990E+00 -5.178818014E-03 6.204875708E-01
 1.009999990E+00 -5.009854678E-03 6.158065200E-01
 1.009999990E+00 -4.846517928E-03 6.111864448E-01
 1.009999990E+00 -4.688618705E-03 6.066247225E-01
 1.009999990E+00 -4.535974469E-03 6.021179557E-01
 1.009999990E+00 -4.388407338E-03 5.976635218E-01
 1.009999990E+00 -4.245747346E-03 5.932592154E-01
 1.009999990E+00 -4.107828252E-03 5.889018178E-01
 1.009999990E+00 -3.974491265E-03 5.845885873E-01
 1.009999990E+00 -3.845581785E-03 5.803173184E-01
 1.009999990E+00 -3.720950801E-03 5.760854483E-01
 1.009999990E+00 -3.600454656E-03 5.718906522E-01
 1.009999990E+00 -3.483953886E-03 5.677307248E-01
 1.009999990E+00 -3.371314146E-03 5.636034608E-01
 1.009999990E+00 -3.262405749E-03 5.595068336E-01
 1.009999990E+00 -3.157103201E-03 5.554386973E-01
 1.009999990E+00 -3.055284964E-03 5.513968468E-01
 1.009999990E+00 -2.956833923E-03 5.473793745E-01
 1.009999990E+00 -2.861637156E-03 5.433845520E-01
 1.009999990E+00 -2.769585000E-03 5.394098163E-01
 1.009999990E+00 -2.680571983E-03 5.354536772E-01
 1.009999990E+00 -2.594495658E-03 5.315143466E-01
 1.009999990E+00 -2.511257771E-03 5.275902152E-01
 1.009999990E+00 -2.430762630E-03 5.236792564E-01
 1.009999990E+00 -2.352918033E-03 5.197796822E-01
 1.009999990E+00 -2.277635271E-03 5.158898830E-01
 1.009999990E+00 -2.204828197E-03 5.120081902E-01
 1.009999990E+00 -2.134413458E-03 5.081333518E-01
 1.009999990E+00 -2.066311194E-03 5.042638779E-01
 1.009999990E+00 -2.000443172E-03 5.003988147E-01
 1.009999990E+00 -1.936735003E-03 4.965374470E-01
 1.009999990E+00 -1.875113929E-03 4.926790893E-01
 1.009999990E+00 -1.815509866E-03 4.888235033E-01
 1.009999990E+00 -1.757855178E-03 4.849708974E-01
 1.009999990E+00 -1.702084555E-03 4.811218083E-01
 1.009999990E+00 -1.648134785E-03 4.772770107E-01
 1.009999990E+00 -1.595944748E-03 4.734380543E-01
 1.009999990E+00 -1.545455540E-03 4.696065187E-01
 1.009999990E+00 -1.496609999E-03 4.657846391E-01
 1.009999990E+00 -1.449353062E-03 4.619750679E-01
 1.009999990E+00 -1.403631642E-03 4.581808150E-01
 1.009999990E+00 -1.359393937E-03 4.544050097E-01
 1.009999990E+00 -1.316590584E-03 4.506514072E-01
 1.009999990E+00 -1.275173272E-03 4.469239116E-01
