# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -3.974491265E-03 1.675423002E-03
 1.009999990E+00 -3.845581785E-03 1.670371857E-03
 1.009999990E+00 -3.720950801E-03 1.665420365E-03
 1.009999990E+00 -3.600454656E-03 1.660619979E-03
 1.009999990E+00 -3.483953886E-03 1.656014472E-03
 1.009999990E+00 -3.371314146E-03 1.651652390E-03
 1.009999990E+00 -3.262405749E-03 1.647582278E-03
 1.009999990E+00 -3.157103201E-03 1.643852214E-03
 1.009999990E+00 -3.055284964E-03 1.640502946E-03
 1.009999990E+00 -2.956833923E-03 1.637587324E-03
 1.009999990E+00 -2.861637156E-03 1.635155641E-03
 1.009999990E+00 -2.769585000E-03 1.633256557E-03
 1.009999990E+00 -2.680571983E-03 1.631937455E-03
 1.009999990E+00 -2.594495658E-03 1.631245366E-03
 1.009999990E+00 -2.511257771E-03 1.631235471E-03
 1.009999990E+00 -2.430762630E-03 1.631939085E-03
 1.009999990E+00 -2.352918033E-03 1.633393462E-03
 1.009999990E+00 -2.277635271E-03 1.635626890E-03
 1.009999990E+00 -2.204828197E-03 1.638661022E-03
 1.009999990E+00 -2.134413458E-03 1.642506453E-03
 1.009999990E+00 -2.066311194E-03 1.647164230E-03
 1.009999990E+00 -2.000443172E-03 1.652620267E-03
 1.009999990E+00 -1.936735003E-03 1.658842899E-03
 1.009999990E+00 -1.875113929E-03 1.665792079E-03
 1.009999990E+00 -1.815509866E-03 1.673397492E-03
 1.009999990E+00 -1.757855178E-03 1.681580208E-03
 1.009999990E+00 -1.702084555E-03 1.690245932E-03
 1.009999990E+00 -1.648134785E-03 1.699281274E-03
 1.009999990E+00 -1.595944748E-03 1.708558993E-03
 1.009999990E+00 -1.545455540E-03 1.717943931E-03
 1.009999990E+00 -1.496609999E-03 1.727287192E-03
 1.009999990E+00 -1.449353062E-03 1.736435690E-03
 1.009999990E+00 -1.403631642E-03 1.745236572E-03
 1.009999990E+00 -1.359393937E-03 1.753530116E-03
 1.009999990E+00 -1.316590584E-03 1.761163818E-03
 1.009999990E+00 -1.275173272E-03 1.767992158E-03
 1.009999990E+00 -1.235095784E-03 1.773882774E-03
 1.009999990E+00 -1.196312951E-03 1.778707607E-03
 1.009999990E+00 -1.158781582E-03 1.782355481E-03
 1.009999990E+00 -1.122459769E-03 1.784728607E-03
 1.009999990E+00 -1.087306882E-03 1.785747008E-03
 1.009999990E+00 -1.053283806E-03 1.785347005E-03
 1.009999990E+00 -1.020352705E-03 1.783482032E-03
 1.009999990E+00 -9.884770261E-04 1.780122984E-03
 1.009999990E+00 -9.576214361E-04 1.775256475E-03
 1.009999990E+00 -9.277517092E-04 1.768883783E-03
 1.009999990E+00 -8.988348418E-04 1.761021209E-03
 1.009999990E+00 -8.708388777E-04 1.751697389E-03
 1.009999990E+00 -8.437330252E-04 1.740952488E-03
 1.009999990E+00 -8.174874238E-04 1.728836331E-03
 1.009999990E+00 -7.920732605E-04 1.715408172E-03
 1.009999990E+00 -7.674626540E-04 1.700732741E-03
 1.009999990E+00 -7.436286542E-04 1.684877439E-03
 1.009999990E+00 -7.205452421E-04 1.667923876E-03
 1.009999990E+00 -6.981872721E-04 1.649949001E-03
 1.009999990E+00 -6.765303551E-04 1.631033374E-03
 1.009999990E+00 -6.555509754E-04 1.611259999E-03
 1.009999990E+00 -6.352264318E-04 1.590708853E-03
 1.009999990E+00 -6.155346637E-04 1.569462591E-03
 1.009999990E+00 -5.964544252E-04 1.547600841E-03
 1.009999990E+00 -5.779651692E-04 1.525202184E-03
 1.009999990E+00 -5.600470467E-04 1.502341009E-03
 1.009999990E+00 -5.426807911E-04 1.479087980E-03
 1.009999990E+00 -5.258478341E-04 1.455515274E-03
 1.009999990E+00 -5.095301894E-04 1.431687619E-03
 1.009999990E+00 -4.937105114E-04 1.407667180E-03
 1.009999990E+00 -4.783718905E-04 1.383514726E-03
 1.009999990E+00 -4.634981742E-04 1.359284273E-03
 1.009999990E+00 -4.490735591E-04 1.335024950E-03
 1.009999990E+00 -4.350828531E-04 1.310786000E-03
 1.009999990E+00 -4.215113586E-04 1.286613755E-03
 1.009999990E+00 -4.083447857E-04 1.262544189E-03
 1.009999990E+00 -3.955693974E-04 1.238620258E-03
 1.009999990E+00 -3.831718350E-04 1.214867923E-03
 1.009999990E+00 -3.711392346E-04 1.191319549E-03
 1.009999990E+00 -3.594591108E-04 1.168004121E-03
 1.009999990E+00 -3.481193271E-04 1.144941198E-03
 1.009999990E+00 -3.371082421E-04 1.122154063E-03
 1.009999990E+00 -3.264145344E-04 1.099664252E-03
 1.009999990E+00 -3.160272317E-04 1.077485387E-03
 1.009999990E+00 -3.059357114E-04 1.055628411E-03
 1.009999990E+00 -2.961296996E-04 1.034103916E-03
 1.009999990E+00 -2.865992719E-04 1.012922730E-03
 1.009999990E+00 -2.773347951E-04 9.920942830E-04
