# Nondimensional eddy viscosity at x=0.97, BSL model
VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D"
 9.700000286E-01 4.256965965E-02 7.156583015E-03
 9.700000286E-01 4.388802871E-02 7.156583015E-03
 9.700000286E-01 4.524722695E-02 7.156583015E-03
 9.700000286E-01 4.664851725E-02 7.156583481E-03
 9.700000286E-01 4.809320718E-02 7.156583481E-03
 9.700000286E-01 4.958264157E-02 7.156583946E-03
 9.700000286E-01 5.111819878E-02 7.156584412E-03
 9.700000286E-01 5.270131305E-02 7.156584878E-03
 9.700000286E-01 5.433345586E-02 7.156585343E-03
 9.700000286E-01 5.601614714E-02 7.156586275E-03
 9.700000286E-01 5.775095150E-02 7.156586740E-03
 9.700000286E-01 5.953947827E-02 7.156587671E-03
 9.700000286E-01 6.138340011E-02 7.156588603E-03
 9.700000286E-01 6.328442693E-02 7.156589068E-03
 9.700000286E-01 6.524432451E-02 7.156590465E-03
 9.700000286E-01 6.726492196E-02 7.156591397E-03
 9.700000286E-01 6.934808940E-02 7.156592328E-03
 9.700000286E-01 7.149577886E-02 7.156593725E-03
 9.700000286E-01 7.370998710E-02 7.156595122E-03
 9.700000286E-01 7.599275559E-02 7.156596053E-03
 9.700000286E-01 7.834623009E-02 7.156597450E-03
 9.700000286E-01 8.077258617E-02 7.156598847E-03
 9.700000286E-01 8.327408880E-02 7.156600710E-03
 9.700000286E-01 8.585306257E-02 7.156602107E-03
 9.700000286E-01 8.851190656E-02 7.156603970E-03
 9.700000286E-01 9.125309438E-02 7.156605367E-03
 9.700000286E-01 9.407917410E-02 7.156607229E-03
 9.700000286E-01 9.699277580E-02 7.156609092E-03
 9.700000286E-01 9.999661148E-02 7.156610955E-03
 9.700000286E-01 1.030934751E-01 7.156613283E-03
 9.700000286E-01 1.062862501E-01 7.156615146E-03
 9.700000286E-01 1.095779017E-01 7.156617474E-03
 9.700000286E-01 1.129714921E-01 7.156619802E-03
 9.700000286E-01 1.164701879E-01 7.156622130E-03
 9.700000286E-01 1.200772300E-01 7.156624459E-03
 9.700000286E-01 1.237959862E-01 7.156626787E-03
 9.700000286E-01 1.276299059E-01 7.156629115E-03
 9.700000286E-01 1.315825731E-01 7.156631909E-03
 9.700000286E-01 1.356576383E-01 7.156634703E-03
 9.700000286E-01 1.398589164E-01 7.156637497E-03
 9.700000286E-01 1.441902965E-01 7.156640291E-03
 9.700000286E-01 1.486558318E-01 7.156643551E-03
 9.700000286E-01 1.532596499E-01 7.156646345E-03
 9.700000286E-01 1.580060571E-01 7.156649604E-03
 9.700000286E-01 1.628994495E-01 7.156652864E-03
 9.700000286E-01 1.679444015E-01 7.156656124E-03
 9.700000286E-01 1.731455922E-01 7.156659849E-03
 9.700000286E-01 1.785078496E-01 7.156663109E-03
 9.700000286E-01 1.840361804E-01 7.156666834E-03
 9.700000286E-01 1.897357255E-01 7.156670559E-03
 9.700000286E-01 1.956117898E-01 7.156674284E-03
 9.700000286E-01 2.016698271E-01 7.156678010E-03
 9.700000286E-01 2.079154700E-01 7.156682201E-03
 9.700000286E-01 2.143545449E-01 7.156686392E-03
 9.700000286E-01 2.209930420E-01 7.156690117E-03
 9.700000286E-01 2.278371304E-01 7.156694774E-03
 9.700000286E-01 2.348931730E-01 7.156698965E-03
 9.700000286E-01 2.421677411E-01 7.156703621E-03
 9.700000286E-01 2.496675998E-01 7.156707812E-03
 9.700000286E-01 2.573997378E-01 7.156712469E-03
 9.700000286E-01 2.653713226E-01 7.156717591E-03
 9.700000286E-01 2.735897899E-01 7.156722248E-03
 9.700000286E-01 2.820627689E-01 7.156727370E-03
 9.700000286E-01 2.907981873E-01 7.156732492E-03
 9.700000286E-01 2.998040915E-01 7.156737614E-03
 9.700000286E-01 3.090889454E-01 7.156743202E-03
 9.700000286E-01 3.186613321E-01 7.156748325E-03
 9.700000286E-01 3.285301626E-01 7.156753913E-03
 9.700000286E-01 3.387046456E-01 7.156759501E-03
 9.700000286E-01 3.491942286E-01 7.156765554E-03
 9.700000286E-01 3.600086570E-01 7.156771142E-03
 9.700000286E-01 3.711580336E-01 7.156777196E-03
 9.700000286E-01 3.826526701E-01 7.156783249E-03
 9.700000286E-01 3.945032954E-01 7.156789768E-03
 9.700000286E-01 4.067209363E-01 7.156795822E-03
 9.700000286E-01 4.193169773E-01 7.156802341E-03
 9.700000286E-01 4.323030710E-01 7.156808395E-03
 9.700000286E-01 4.456913769E-01 7.156814914E-03
 9.700000286E-01 4.594942927E-01 7.156821899E-03
 9.700000286E-01 4.737246931E-01 7.156828418E-03
 9.700000286E-01 4.883958101E-01 7.156835403E-03
 9.700000286E-01 5.035212636E-01 7.156842388E-03
 9.700000286E-01 5.191151500E-01 7.156849373E-03
 9.700000286E-01 5.351920128E-01 7.156856358E-03
 9.700000286E-01 5.517667532E-01 7.156863343E-03
 9.700000286E-01 5.688547492E-01 7.156870794E-03
 9.700000286E-01 5.864720345E-01 7.156877778E-03
 9.700000286E-01 6.046348810E-01 7.156885229E-03
 9.700000286E-01 6.233602166E-01 7.156892680E-03
 9.700000286E-01 6.426655054E-01 7.156899665E-03
 9.700000286E-01 6.625686884E-01 7.156907115E-03
 9.700000286E-01 6.830881834E-01 7.156914100E-03
 9.700000286E-01 7.042432427E-01 7.156921551E-03
 9.700000286E-01 7.260534167E-01 7.156928536E-03
 9.700000286E-01 7.485390902E-01 7.156935986E-03
 9.700000286E-01 7.717211246E-01 7.156942971E-03
 9.700000286E-01 7.956210375E-01 7.156949956E-03
 9.700000286E-01 8.202611804E-01 7.156956475E-03
 9.700000286E-01 8.456644416E-01 7.156962994E-03
 9.700000286E-01 8.718544245E-01 7.156969514E-03
 9.700000286E-01 8.988554478E-01 7.156975567E-03
 9.700000286E-01 9.266927242E-01 7.156980690E-03
 9.700000286E-01 9.553921223E-01 7.156983484E-03
 9.700000286E-01 9.849802852E-01 7.156979758E-03
ZONE T="FUN3D"
 9.700000286E-01 2.499999994E-07 2.887172619E-11
 9.700000286E-01 7.502325730E-07 1.083139023E-09
 9.700000286E-01 1.251163098E-06 1.146071327E-08
 9.700000286E-01 1.753257607E-06 6.409729281E-08
 9.700000286E-01 2.256983180E-06 2.448089162E-07
 9.700000286E-01 2.762808435E-06 7.281890362E-07
 9.700000286E-01 3.271203923E-06 1.820085572E-06
 9.700000286E-01 3.782642807E-06 4.007301413E-06
 9.700000286E-01 4.297600753E-06 8.015788808E-06
 9.700000286E-01 4.816556611E-06 1.487895588E-05
 9.700000286E-01 5.339993095E-06 2.601801134E-05
 9.700000286E-01 5.868397693E-06 4.333661127E-05
 9.700000286E-01 6.402261988E-06 6.933217810E-05
 9.700000286E-01 6.942082109E-06 1.072268424E-04
 9.700000286E-01 7.488360552E-06 1.611211192E-04
 9.700000286E-01 8.041605724E-06 2.361735096E-04
 9.700000286E-01 8.602331945E-06 3.388098557E-04
 9.700000286E-01 9.171060810E-06 4.769662046E-04
 9.700000286E-01 9.748321645E-06 6.603688817E-04
 9.700000286E-01 1.033465105E-05 9.008555207E-04
 9.700000286E-01 1.093059564E-05 1.212741830E-03
 9.700000286E-01 1.153670928E-05 1.613233588E-03
 9.700000286E-01 1.215355496E-05 2.122889273E-03
 9.700000286E-01 1.278170748E-05 2.766136080E-03
 9.700000286E-01 1.342175074E-05 3.571827430E-03
 9.700000286E-01 1.407428044E-05 4.573853221E-03
 9.700000286E-01 1.473990324E-05 5.811781622E-03
 9.700000286E-01 1.541924030E-05 7.331538945E-03
 9.700000286E-01 1.611291918E-05 9.186074138E-03
 9.700000286E-01 1.682159018E-05 1.143607218E-02
 9.700000286E-01 1.754590994E-05 1.415054966E-02
 9.700000286E-01 1.828655331E-05 1.740747318E-02
 9.700000286E-01 1.904420787E-05 2.129421197E-02
 9.700000286E-01 1.981958121E-05 2.590791695E-02
 9.700000286E-01 2.061339183E-05 3.135563433E-02
 9.700000286E-01 2.142637823E-05 3.775430471E-02
 9.700000286E-01 2.225929893E-05 4.523048550E-02
 9.700000286E-01 2.311292883E-05 5.391976237E-02
 9.700000286E-01 2.398805918E-05 6.396585703E-02
 9.700000286E-01 2.488550672E-05 7.551968098E-02
 9.700000286E-01 2.580610453E-05 8.873782307E-02
 9.700000286E-01 2.675071119E-05 1.037810668E-01
 9.700000286E-01 2.772020343E-05 1.208125725E-01
 9.700000286E-01 2.871548350E-05 1.399962604E-01
 9.700000286E-01 2.973747905E-05 1.614949554E-01
 9.700000286E-01 3.078714144E-05 1.854686141E-01
 9.700000286E-01 3.186544200E-05 2.120728493E-01
 9.700000286E-01 3.297338844E-05 2.414579391E-01
 9.700000286E-01 3.411201033E-05 2.737675905E-01
 9.700000286E-01 3.528236630E-05 3.091382980E-01
 9.700000286E-01 3.648554775E-05 3.476993442E-01
 9.700000286E-01 3.772267155E-05 3.895725906E-01
 9.700000286E-01 3.899488729E-05 4.348727465E-01
 9.700000286E-01 4.030338459E-05 4.837082624E-01
