%F0331A Castro 2D curved mixing layer
%J. Fluid Mech. vol. 73, p. 265 (1976)
%Two sets of coordinates are used; offset r, theta coords.
%for highly-curved initial region (theta increasing with
%streamwise distance) and x,y coords. for straighter
%downstream section. 
%
%Part 1 -  Mean flow measurements in curved section
%Part 2 - Turbulence measurements in curved section
%Part 3 Turbulence measurements in straight section
%Part 4 Reference streamline
%
%__________________________________________________
%
%Part 1 - Mean flow measurements in curved section
%For mean U and V in downstream section in x,y coords.
%see Part 3.
%
%Station, theta (deg):
%     0.0
%    r      Utheta/Uref   Ur/Uref
2.5590E-01     1.6244E-02     8.2338E-03     9.8731E-02     2.1927E-03    -6.6655E-05    -2.8240E-04    -1.8984E-04    -8.2297E-04    -1.6374E-04
2.5090E-01     1.8800E-02     8.4270E-03     1.2090E-01     2.6490E-03    -7.9660E-05    -2.0366E-04    -5.3240E-05    -2.8747E-04     1.6348E-04
2.3090E-01     1.1333E-02     4.1559E-03     3.5586E-02     1.0327E-03     1.9090E-05     1.6780E-04     2.2090E-04     1.0510E-03     2.9160E-04
2.2590E-01     7.8210E-03     2.7724E-03     1.4393E-02    -1.7823E-04    -4.3399E-05     6.2768E-05     1.4037E-04     8.5904E-04     1.4039E-04
2.2090E-01     3.8006E-03     1.4678E-03     3.5018E-03    -5.0850E-04    -4.5700E-05    -2.1419E-05     7.8327E-05     4.2775E-04     5.8610E-05
%
%Station, theta (deg):
%     40.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.8000E-01     1.2102E-03     1.7821E-03     4.5766E-02    -4.3130E-05    -3.1392E-05    -1.5650E-05    -3.1200E-06    -9.8981E-06    -4.8813E-06
2.7500E-01     2.3550E-03     2.7745E-03     5.1294E-02     6.5604E-05    -4.2216E-05    -4.2036E-05    -5.4943E-05    -1.1881E-04    -3.3166E-05
2.7000E-01     5.2051E-03     4.6698E-03     6.1397E-02     3.1397E-04    -4.9256E-05    -1.2550E-04    -1.1916E-04    -5.0111E-04    -1.1552E-04
2.6500E-01     9.8052E-03     6.5239E-03     7.9906E-02     9.3577E-04    -2.7559E-05    -2.2231E-04    -2.1630E-04    -8.6670E-04    -2.4800E-04
2.6000E-01     1.4216E-02     8.0042E-03     9.6862E-02     1.7666E-03    -7.6740E-05    -2.3400E-04    -1.7303E-04    -8.1506E-04    -2.2310E-04
2.5500E-01     1.6126E-02     8.7459E-03     1.0872E-01     2.2333E-03    -5.3014E-05    -1.7258E-04    -8.8953E-05    -3.2385E-04    -8.7156E-06
2.5000E-01     1.7190E-02     8.4191E-03     1.1230E-01     2.8536E-03     2.7059E-05    -7.0075E-05     4.1910E-05     1.0157E-04     1.7817E-04
2.4500E-01     0.0000E+00     1.6120E-02    -8.1230E-03     2.8720E-03     1.2091E-04     5.4076E-05     1.2071E-04     5.4096E-04     2.6158E-04
2.4000E-01     1.4687E-02     6.8096E-03     8.9588E-02     2.7210E-03     1.7380E-04     1.7810E-04     2.2498E-04     7.0408E-04     3.0770E-04
2.3500E-01     1.1663E-02     5.2625E-03     7.3608E-02     2.0668E-03     1.6876E-04     2.0070E-04     2.5870E-04     8.3770E-04     2.7436E-04
2.3000E-01     8.7256E-03     3.6864E-03     6.0061E-02     1.5185E-03     1.5381E-04     1.7844E-04     2.3201E-04     7.8861E-04     1.8256E-04
2.2500E-01     6.5099E-03     2.5314E-03     5.1101E-02     9.2790E-04     1.0177E-04     1.4271E-04     1.6693E-04     6.4698E-04     1.0237E-04
2.2000E-01     2.7057E-03     9.2190E-04     4.6140E-02     2.2448E-04     3.0466E-05     3.9470E-05     5.3738E-05     2.4321E-04     3.9519E-05
%
%Station, theta (deg):
%     50.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.7780E-01     1.1420E-03     1.5880E-03     4.8050E-04    -1.7004E-04    -1.2602E-05    -3.1528E-06     2.6368E-06    -5.0850E-08    -2.7520E-08
2.7280E-01     1.9278E-03     2.6033E-03     1.1631E-03    -3.3540E-04    -2.7962E-05    -1.0162E-05    -1.5704E-05    -5.3046E-05    -2.2884E-05
2.6780E-01     3.8089E-03     4.4052E-03     2.6366E-03    -1.7040E-04    -3.9216E-05    -5.9819E-05    -8.2077E-05    -2.5421E-04    -8.1708E-05
2.6280E-01     7.2996E-03     6.2167E-03     4.7015E-03     4.3118E-04    -7.8870E-05    -1.5776E-04    -1.5220E-04    -6.0030E-04    -2.1552E-04
2.5780E-01     1.0548E-02     7.3951E-03     6.7889E-03     1.0737E-03    -4.6050E-05    -1.7700E-04    -1.4600E-04    -5.6882E-04    -2.1930E-04
2.5280E-01     1.2787E-02     8.1797E-03     8.9309E-03     2.3553E-03     1.4122E-04    -1.6020E-04    -1.1603E-04    -3.5443E-04    -1.3593E-04
2.4780E-01     1.4260E-02     8.4110E-03     9.8960E-03     3.1091E-03     5.0123E-05    -1.0810E-04    -6.1452E-05    -4.5836E-05    -1.8103E-05
2.4280E-01     1.4037E-02     8.1620E-03     9.6747E-03     3.3150E-03     9.2473E-05    -2.4644E-06     1.5557E-05     2.6432E-04     1.3388E-04
2.3780E-01     1.3116E-02     7.3753E-03     8.3142E-03     3.1522E-03     2.1074E-04     6.0929E-05     1.3371E-04     3.3871E-04     1.9238E-04
2.3280E-01     1.1825E-02     6.3866E-03     6.4753E-03     2.9708E-03     2.2777E-04     1.2667E-04     1.7002E-04     6.0140E-04     2.3600E-04
2.2780E-01     9.6031E-03     5.2526E-03     4.0782E-03     2.1899E-03     2.3460E-04     1.2999E-04     1.8870E-04     5.8386E-04     1.8227E-04
2.2280E-01     7.0635E-03     3.5933E-03     2.2516E-03     1.4500E-03     1.7745E-04     1.3590E-04     1.7745E-04     5.3170E-04     1.1229E-04
2.1780E-01     4.7350E-03     2.4873E-03     1.2036E-03     1.0945E-03     1.3630E-04     1.0536E-04     1.3143E-04     3.8798E-04     6.5854E-05
%
%Station, theta (deg):
%     60.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.7250E-01     1.2550E-03     1.1260E-03    -1.7751E-03    -3.2546E-04    -1.6285E-05    -1.3325E-05     1.0889E-05    -6.9710E-08    -3.7224E-06
2.6250E-01     2.4535E-03     3.4359E-03     6.3464E-04    -4.3210E-04    -5.3659E-05    -3.5656E-05    -3.6183E-05    -5.8453E-05    -2.1390E-05
2.5249E-01     7.3473E-03     5.7458E-03     3.0444E-03     1.0128E-03    -1.1130E-04    -1.6600E-04    -1.5420E-04    -4.4820E-04    -1.5980E-04
2.4250E-01     1.1642E-02     8.0557E-03     7.8640E-03     3.1773E-03     3.7200E-07    -1.1636E-04    -8.1185E-05    -1.7972E-04    -1.1101E-04
2.3750E-01     1.2840E-02     9.8141E-02    -8.1298E-02     3.4538E-03     5.1658E-05    -6.7883E-05    -3.1408E-05    -4.5793E-05    -1.8100E-05
2.3250E-01     1.2940E-02     8.0557E-03     5.4542E-03     3.7830E-03     2.2105E-04     1.9904E-05     8.7604E-05     2.3723E-04     2.1808E-05
2.2750E-01     1.0000E+00     2.3100E+01    -2.4090E+01     3.5141E-03     2.2067E-04     4.7885E-05     1.3822E-04     3.8204E-04     1.4018E-04
2.2250E-01     1.1442E-02     5.7458E-03     3.0444E-03     3.0723E-03     2.6470E-04     1.6830E-04     2.4370E-04     5.9810E-04     1.6920E-04
2.1250E-01     6.7481E-03     3.4359E-03     6.3464E-04     1.5406E-03     1.6089E-04     1.4527E-04     2.2209E-04     5.7330E-04     9.6853E-05
2.0250E-01     2.4535E-03     1.1260E-03    -1.7751E-03    -9.1520E-05    -6.9976E-06     3.9581E-06     4.7018E-05     1.8209E-04     2.7039E-05
%
%Station, theta (deg):
%     70.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.6310E-01     1.7030E-03     2.2842E-03     4.0980E-04    -3.6150E-04    -3.6878E-05    -1.0339E-05     1.3429E-05     2.5743E-05    -5.5469E-06
2.5310E-01     3.0598E-03     4.9890E-03     1.8361E-03     9.9717E-05    -1.0558E-04    -5.4756E-05    -7.9370E-05    -8.6381E-05    -4.2606E-05
2.4309E-01     8.2648E-03     8.0477E-03     4.7463E-03     2.2483E-03    -1.4340E-04    -1.9640E-04    -1.8370E-04    -4.4320E-04    -1.5403E-04
2.3310E-01     1.2299E-02     9.8090E-03     8.3030E-03     4.2620E-03     2.0456E-05    -1.6062E-04    -8.4837E-05    -2.2546E-04    -1.6470E-04
2.2310E-01     1.3410E-02     9.7213E-03     8.1262E-03     4.3400E-03     1.1257E-04    -1.6965E-05     1.1156E-04     2.4987E-04     6.5806E-05
2.1310E-01     1.2075E-02     7.6574E-03     5.2957E-03     3.6888E-03     1.6060E-04     2.0520E-04     2.7570E-04     7.1870E-04     1.9440E-04
2.0310E-01     7.4535E-03     3.4816E-03     2.2166E-03     1.2130E-03     4.4138E-05     1.4472E-04     1.8212E-04     6.6270E-04     1.1608E-04
1.9310E-01     3.2881E-03     1.5400E-03     6.4739E-04    -1.1279E-04    -2.3138E-05     1.2793E-05     7.9123E-05     2.5777E-04     2.7562E-05
%
%Station, theta (deg):
%     80.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.5660E-01     2.1560E-03     2.5796E-03     5.1630E-04    -2.5840E-04    -5.3082E-05    -6.5717E-06     7.2072E-06     1.2563E-05     6.3693E-06
2.4660E-01     3.6649E-03     5.4426E-03     2.3432E-03     3.0463E-04    -9.4830E-05    -6.7322E-05    -9.9968E-05    -1.2652E-04    -6.7685E-05
