#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 9.208336473E-01 1.431941171E-03 3.590279448E-06
 2.924682617E+01 9.228524566E-01 1.428542193E-03 3.588853815E-06
 2.924682617E+01 9.248401523E-01 1.425181050E-03 3.587448418E-06
 2.924682617E+01 9.267970920E-01 1.421855879E-03 3.586063031E-06
 2.924682617E+01 9.287239313E-01 1.418569474E-03 3.584692422E-06
 2.924682617E+01 9.306208491E-01 1.415320323E-03 3.583342504E-06
 2.924682617E+01 9.324885011E-01 1.412107376E-03 3.582011459E-06
 2.924682617E+01 9.343271852E-01 1.408931799E-03 3.580693601E-06
 2.924682617E+01 9.361373782E-01 1.405791962E-03 3.579393024E-06
 2.924682617E+01 9.379194975E-01 1.402688911E-03 3.578112683E-06
 2.924682617E+01 9.396739602E-01 1.399624511E-03 3.576849849E-06
 2.924682617E+01 9.414011240E-01 1.396594569E-03 3.575601795E-06
 2.924682617E+01 9.431014657E-01 1.393601182E-03 3.574368520E-06
 2.924682617E+01 9.447753429E-01 1.390646910E-03 3.573153208E-06
 2.924682617E+01 9.464231133E-01 1.387726166E-03 3.571955403E-06
 2.924682617E+01 9.480452538E-01 1.384840230E-03 3.570775107E-06
 2.924682617E+01 9.496420026E-01 1.381992013E-03 3.569609589E-06
 2.924682617E+01 9.512139559E-01 1.379178953E-03 3.568456350E-06
 2.924682617E+01 9.527612329E-01 1.376400818E-03 3.567323574E-06
 2.924682617E+01 9.542842507E-01 1.373656327E-03 3.566208079E-06
 2.924682617E+01 9.557834864E-01 1.370947459E-03 3.565105089E-06
 2.924682617E+01 9.572591782E-01 1.368274563E-03 3.564017334E-06
 2.924682617E+01 9.587117434E-01 1.365634380E-03 3.562941856E-06
 2.924682617E+01 9.601414800E-01 1.363028307E-03 3.561881613E-06
 2.924682617E+01 9.615487456E-01 1.360456459E-03 3.560841378E-06
 2.924682617E+01 9.629338980E-01 1.357918140E-03 3.559815696E-06
 2.924682617E+01 9.642971754E-01 1.355413347E-03 3.558800017E-06
 2.924682617E+01 9.656389952E-01 1.352942199E-03 3.557800255E-06
