VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA-QCR2000"
 1.335438923E-03 3.584095044E-03 2.800454618E-03 2.016798360E-03
 1.376800123E-03 3.580548335E-03 2.797618741E-03 2.014672151E-03
 1.419442124E-03 3.576764604E-03 2.794594970E-03 2.012407873E-03
 1.463404740E-03 3.572734538E-03 2.791376552E-03 2.010000404E-03
 1.508728717E-03 3.568448359E-03 2.787955804E-03 2.007444389E-03
 1.555456314E-03 3.563895822E-03 2.784324344E-03 2.004733542E-03
 1.603630953E-03 3.559066448E-03 2.780474024E-03 2.001861576E-03
 1.653297455E-03 3.553948365E-03 2.776395762E-03 1.998822205E-03
 1.704502036E-03 3.548529232E-03 2.772079781E-03 1.995608211E-03
 1.757292310E-03 3.542796476E-03 2.767516067E-03 1.992212376E-03
 1.811717520E-03 3.536736360E-03 2.762693679E-03 1.988626784E-03
 1.867828076E-03 3.530334216E-03 2.757600974E-03 1.984843053E-03
 1.925676246E-03 3.523574676E-03 2.752226545E-03 1.980852336E-03
 1.985315932E-03 3.516441677E-03 2.746557118E-03 1.976645552E-03
 2.046802780E-03 3.508917522E-03 2.740579424E-03 1.972212922E-03
 2.110193484E-03 3.500984749E-03 2.734279027E-03 1.967543969E-03
 2.175547648E-03 3.492623568E-03 2.727641026E-03 1.962627750E-03
 2.242925344E-03 3.483814187E-03 2.720649587E-03 1.957452856E-03
 2.312389901E-03 3.474534722E-03 2.713287715E-03 1.952007296E-03
 2.384005813E-03 3.464762587E-03 2.705537481E-03 1.946277800E-03
 2.457839437E-03 3.454474034E-03 2.697380492E-03 1.940251095E-03
 2.533959458E-03 3.443643684E-03 2.688796958E-03 1.933912747E-03
 2.612437122E-03 3.432244761E-03 2.679765923E-03 1.927247853E-03
 2.693345072E-03 3.420249326E-03 2.670265269E-03 1.920240466E-03
 2.776758745E-03 3.407627577E-03 2.660271944E-03 1.912873820E-03
 2.862755442E-03 3.394348547E-03 2.649761271E-03 1.905130339E-03
 2.951415488E-03 3.380378708E-03 2.638707869E-03 1.896991511E-03
 3.042821307E-03 3.365683369E-03 2.627084265E-03 1.888437662E-03
 3.137057880E-03 3.350226209E-03 2.614861820E-03 1.879448304E-03
 3.234212985E-03 3.333968110E-03 2.602010500E-03 1.870001666E-03
 3.334376728E-03 3.316868795E-03 2.588498639E-03 1.860075281E-03
 3.437642707E-03 3.298885422E-03 2.574292477E-03 1.849644817E-03
 3.544106614E-03 3.279972821E-03 2.559357556E-03 1.838685363E-03
 3.653867636E-03 3.260083497E-03 2.543656621E-03 1.827170490E-03
 3.767027752E-03 3.239167621E-03 2.527150791E-03 1.815072377E-03
 3.883692669E-03 3.217173042E-03 2.509799320E-03 1.802361920E-03
 4.003970418E-03 3.194044577E-03 2.491559600E-03 1.789008500E-03
 4.127973225E-03 3.169724718E-03 2.472386695E-03 1.774980221E-03
 4.255816340E-03 3.144152695E-03 2.452233573E-03 1.760243438E-03
 4.387618508E-03 3.117265413E-03 2.431050874E-03 1.744763111E-03
 4.523502663E-03 3.088996513E-03 2.408787375E-03 1.728502684E-03
 4.663594998E-03 3.059276147E-03 2.385389060E-03 1.711423625E-03
 4.808025900E-03 3.028031904E-03 2.360799583E-03 1.693486236E-03
 4.956929944E-03 2.995188581E-03 2.334960736E-03 1.674648956E-03
 5.110444967E-03 2.960667014E-03 2.307811053E-03 1.654868363E-03
 5.268714856E-03 2.924385248E-03 2.279286971E-03 1.634099521E-03
 5.431886297E-03 2.886258531E-03 2.249323064E-03 1.612296095E-03
 5.600110628E-03 2.846198156E-03 2.217851346E-03 1.589409891E-03
 5.773545243E-03 2.804113785E-03 2.184801036E-03 1.565391431E-03
 5.952350795E-03 2.759911120E-03 2.150100423E-03 1.540189725E-03
 6.136693992E-03 2.713494468E-03 2.113674767E-03 1.513752621E-03
 6.326746196E-03 2.664764877E-03 2.075448632E-03 1.486026915E-03
 6.522683892E-03 2.613622695E-03 2.035344718E-03 1.456958824E-03
 6.724690087E-03 2.559966408E-03 1.993285259E-03 1.426493749E-03
 6.932952441E-03 2.503694268E-03 1.949192025E-03 1.394577324E-03
 7.147664204E-03 2.444704762E-03 1.902987482E-03 1.361155533E-03
 7.369025610E-03 2.382897772E-03 1.854594913E-03 1.326175407E-03
 7.597242948E-03 2.318176208E-03 1.803940162E-03 1.289585489E-03
 7.832527161E-03 2.250447171E-03 1.750952564E-03 1.251337584E-03
 8.075099438E-03 2.179623116E-03 1.695565647E-03 1.211386407E-03
 8.325182833E-03 2.105626976E-03 1.637721318E-03 1.169692841E-03
 8.583012037E-03 2.028390998E-03 1.577368821E-03 1.126223011E-03
 8.848825470E-03 1.947863610E-03 1.514470205E-03 1.080952818E-03
 9.122870862E-03 1.864011516E-03 1.449001837E-03 1.033868175E-03
 9.405404329E-03 1.776824705E-03 1.380958245E-03 9.849683847E-04
 9.696686640E-03 1.686324249E-03 1.310358290E-03 9.342701524E-04
 9.996990673E-03 1.592565910E-03 1.237248071E-03 8.818097413E-04
 1.030659489E-02 1.495651901E-03 1.161709661E-03 8.276491426E-04
 1.062578708E-02 1.395739266E-03 1.083867624E-03 7.718809647E-04
 1.095486525E-02 1.293050940E-03 1.003898331E-03 7.146343705E-04
 1.129413396E-02 1.187892514E-03 9.220414795E-04 6.560838665E-04
 1.164390985E-02 1.080665854E-03 8.386120899E-04 5.964572192E-04
 1.200451888E-02 9.718905785E-04 7.540159859E-04 5.360465148E-04
 1.237629540E-02 8.622278110E-04 6.687684800E-04 4.752214591E-04
 1.275958586E-02 7.525052060E-04 5.835135817E-04 4.144423874E-04
 1.315474603E-02 6.437494885E-04 4.990492016E-04 3.542781051E-04
 1.356214564E-02 5.372169544E-04 4.163500562E-04 2.954218071E-04
 1.398216095E-02 4.344347981E-04 3.365998273E-04 2.387133718E-04
 1.441518404E-02 3.372313513E-04 2.612138924E-04 1.851549605E-04
 1.486161817E-02 2.477569506E-04 1.918552152E-04 1.359217131E-04
 1.532187872E-02 1.685135067E-04 1.304565521E-04 9.237656923E-05
 1.579639316E-02 1.022165889E-04 7.911301509E-05 5.599363431E-05
 1.628560200E-02 5.168217467E-05 3.999548062E-05 2.829723235E-05
 1.678996161E-02 1.931332190E-05 1.494991011E-05 1.057720237E-05
 1.730994321E-02 4.302182333E-06 3.334607072E-06 2.361802672E-06
