VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 1.200451888E-02 7.435919833E-04 7.362065953E-04 7.287257467E-04
 1.237629540E-02 6.581718917E-04 6.514227716E-04 6.445855834E-04
 1.275958586E-02 5.728569813E-04 5.667933729E-04 5.606499035E-04
 1.315474603E-02 4.884704249E-04 4.831347615E-04 4.777282302E-04
 1.356214564E-02 4.060172068E-04 4.014419392E-04 3.968054662E-04
 1.398216095E-02 3.267131106E-04 3.229168069E-04 3.190693387E-04
 1.441518404E-02 2.520076814E-04 2.489902254E-04 2.459317620E-04
 1.486161817E-02 1.836014999E-04 1.813385898E-04 1.790444803E-04
 1.532187872E-02 1.234384545E-04 1.218754987E-04 1.202901767E-04
 1.579639316E-02 7.364245539E-05 7.268854824E-05 7.171929610E-05
 1.628560200E-02 3.631885920E-05 3.584300430E-05 3.535655924E-05
 1.678996161E-02 1.296267965E-05 1.279754269E-05 1.262454953E-05
 1.730994321E-02 2.602280347E-06 2.574444807E-06 2.542124548E-06
 1.784602553E-02 1.561416383E-07 1.561881930E-07 1.552282356E-07
 1.839871332E-02 8.417733177E-10 1.072722133E-09 1.267210115E-09
 1.896851510E-02 1.794372151E-10 3.066004672E-10 4.260878594E-10
 1.955596358E-02 1.371837643E-10 2.560872070E-10 3.695124207E-10
 2.016160637E-02 1.368140462E-10 2.552560385E-10 3.685269034E-10
 2.078600600E-02 1.373278297E-10 2.561418300E-10 3.698481799E-10
 2.142974176E-02 1.378815950E-10 2.570997859E-10 3.712469776E-10
 2.209341526E-02 1.383999859E-10 2.580199387E-10 3.725874331E-10
 2.277764119E-02 1.389039717E-10 2.589019277E-10 3.738697130E-10
 2.348305658E-02 1.393763299E-10 2.597335125E-10 3.750791344E-10
 2.421032079E-02 1.398253596E-10 2.605222149E-10 3.762264111E-10
 2.496010624E-02 1.402488126E-10 2.612671746E-10 3.773103496E-10
 2.573311329E-02 1.406488537E-10 2.619712502E-10 3.783350300E-10
 2.653006092E-02 1.410258438E-10 2.626356632E-10 3.793022008E-10
 2.735168859E-02 1.413808237E-10 2.632621621E-10 3.802143878E-10
 2.819876187E-02 1.417145568E-10 2.638522734E-10 3.810737281E-10
 2.907206863E-02 1.420279033E-10 2.644075792E-10 3.818824701E-10
 2.997242101E-02 1.423216545E-10 2.649294950E-10 3.826427508E-10
 3.090065904E-02 1.425966706E-10 2.654195752E-10 3.833566797E-10
 3.185764328E-02 1.428537150E-10 2.658792353E-10 3.840263385E-10
 3.284426406E-02 1.430936480E-10 2.663099186E-10 3.846538088E-10
 3.386143968E-02 1.433172608E-10 2.667130961E-10 3.852411723E-10
 3.491012007E-02 1.435253860E-10 2.670901278E-10 3.857904274E-10
 3.599127382E-02 1.437188146E-10 2.674424571E-10 3.863036835E-10
 3.710591421E-02 1.438983932E-10 2.677714994E-10 3.867829668E-10
 3.825507313E-02 1.440649267E-10 2.680786149E-10 3.872302756E-10
 3.943981975E-02 1.442192338E-10 2.683652189E-10 3.876476085E-10
 4.066125676E-02 1.443621056E-10 2.686326162E-10 3.880370192E-10
 4.192052409E-02 1.444943470E-10 2.688822220E-10 3.884004229E-10
 4.321879148E-02 1.446167491E-10 2.691153411E-10 3.887398459E-10
 4.455726221E-02 1.447300751E-10 2.693332501E-10 3.890571754E-10
 4.593718797E-02 1.448351022E-10 2.695372536E-10 3.893542988E-10
 4.735985026E-02 1.449325243E-10 2.697285451E-10 3.896330203E-10
 4.882656783E-02 1.450230630E-10 2.699083457E-10 3.898951717E-10
 5.033871159E-02 1.451074122E-10 2.700778212E-10 3.901424184E-10
 5.189768597E-02 1.451861964E-10 2.702380264E-10 3.903763979E-10
 5.350494012E-02 1.452600124E-10 2.703900159E-10 3.905986923E-10
 5.516197160E-02 1.453294568E-10 2.705347335E-10 3.908107449E-10
 5.687032267E-02 1.453950432E-10 2.706731506E-10 3.910139712E-10
 5.863158032E-02 1.454572712E-10 2.708060720E-10 3.912096203E-10
 6.044737995E-02 1.455166126E-10 2.709343305E-10 3.913989133E-10
 6.231941655E-02 1.455734422E-10 2.710586200E-10 3.915829050E-10
 6.424943358E-02 1.456281762E-10 2.711796065E-10 3.917625946E-10
 6.623921543E-02 1.456810922E-10 2.712978175E-10 3.919388702E-10
 6.829062104E-02 1.457324955E-10 2.714138359E-10 3.921124536E-10
 7.040556520E-02 1.457826498E-10 2.715280500E-10 3.922840386E-10
 7.258599997E-02 1.458317217E-10 2.716408765E-10 3.924541525E-10
 7.483396679E-02 1.458798915E-10 2.717525649E-10 3.926233227E-10
 7.715155184E-02 1.459272980E-10 2.718634207E-10 3.927918824E-10
