# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.365
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -2.15722E+00   1.42095E-01  -1.66418E+00   6.87402E-03  -2.84692E+00   9.87518E-03
 -2.11954E+00   1.44398E-01  -1.64159E+00   7.33218E-03  -2.81322E+00   1.06141E-02
 -2.08186E+00   1.46786E-01  -1.61903E+00   7.99399E-03  -2.77978E+00   1.13459E-02
 -2.04419E+00   1.49851E-01  -1.59647E+00   8.45012E-03  -2.74608E+00   1.21169E-02
 -2.00651E+00   1.52349E-01  -1.57388E+00   8.94745E-03  -2.71238E+00   1.31006E-02
 -1.96881E+00   1.54640E-01  -1.55131E+00   9.66574E-03  -2.67868E+00   1.40528E-02
 -1.93113E+00   1.57514E-01  -1.52875E+00   1.02267E-02  -2.64498E+00   1.50628E-02
 -1.89346E+00   1.60213E-01  -1.50616E+00   1.07233E-02  -2.61144E+00   1.60202E-02
 -1.85578E+00   1.62633E-01  -1.48360E+00   1.14918E-02  -2.57779E+00   1.70010E-02
 -1.81810E+00   1.65095E-01  -1.46103E+00   1.23614E-02  -2.54414E+00   1.83929E-02
 -1.78040E+00   1.66588E-01  -1.43847E+00   1.33208E-02  -2.51052E+00   1.94779E-02
 -1.74272E+00   1.68350E-01  -1.41588E+00   1.45357E-02  -2.47687E+00   2.08378E-02
 -1.70505E+00   1.70462E-01  -1.39332E+00   1.54869E-02  -2.44322E+00   2.25275E-02
 -1.66737E+00   1.72170E-01  -1.37075E+00   1.64059E-02  -2.40958E+00   2.39528E-02
 -1.62969E+00   1.73815E-01  -1.34816E+00   1.76080E-02  -2.37593E+00   2.53208E-02
 -1.59199E+00   1.74947E-01  -1.32560E+00   1.86349E-02  -2.34228E+00   2.71534E-02
 -1.55432E+00   1.76635E-01  -1.30303E+00   2.05119E-02  -2.30863E+00   2.88655E-02
 -1.51664E+00   1.78032E-01  -1.28047E+00   2.18586E-02  -2.27498E+00   3.07741E-02
 -1.47896E+00   1.79677E-01  -1.25788E+00   2.33663E-02  -2.24134E+00   3.27492E-02
 -1.44129E+00   1.81209E-01  -1.23532E+00   2.55601E-02  -2.20769E+00   3.50325E-02
 -1.40358E+00   1.82295E-01  -1.21275E+00   2.75120E-02  -2.17404E+00   3.73851E-02
 -1.36591E+00   1.84150E-01  -1.19016E+00   2.92339E-02  -2.14039E+00   3.98286E-02
 -1.32823E+00   1.85379E-01  -1.16760E+00   3.13610E-02  -2.10674E+00   4.20785E-02
 -1.29055E+00   1.85834E-01  -1.14504E+00   3.37713E-02  -2.07312E+00   4.50033E-02
 -1.25288E+00   1.87285E-01  -1.12245E+00   3.62834E-02  -2.03947E+00   4.81092E-02
 -1.21518E+00   1.88569E-01  -1.09988E+00   3.90479E-02  -2.00583E+00   5.07573E-02
 -1.17750E+00   1.89743E-01  -1.07732E+00   4.16095E-02  -1.97218E+00   5.36539E-02
 -1.13982E+00   1.90797E-01  -1.05475E+00   4.46826E-02  -1.93853E+00   5.70476E-02
 -1.10215E+00   1.92046E-01  -1.03216E+00   4.77610E-02  -1.90488E+00   6.05942E-02
 -1.06447E+00   1.93333E-01  -1.00960E+00   5.14437E-02  -1.87123E+00   6.43799E-02
 -1.02677E+00   1.94076E-01  -9.87037E-01   5.55789E-02  -1.83759E+00   6.77879E-02
 -9.89090E-01   1.94263E-01  -9.64447E-01   6.00841E-02  -1.80394E+00   7.17886E-02
 -9.51414E-01   1.94364E-01  -9.41883E-01   6.45773E-02  -1.77029E+00   7.62626E-02
 -9.13738E-01   1.95547E-01  -9.19319E-01   6.93993E-02  -1.73664E+00   8.01247E-02
 -8.76061E-01   1.96573E-01  -8.96756E-01   7.51538E-02  -1.70299E+00   8.42067E-02
 -8.38359E-01   1.97219E-01  -8.74166E-01   8.16251E-02  -1.66937E+00   8.88479E-02
 -8.00682E-01   1.97861E-01  -8.51602E-01   8.73399E-02  -1.63572E+00   9.39385E-02
 -7.63006E-01   1.97768E-01  -8.29038E-01   9.38786E-02  -1.60208E+00   9.94640E-02
 -7.25329E-01   1.97674E-01  -8.06448E-01   1.01683E-01  -1.56843E+00   1.04837E-01
 -6.87653E-01   1.97869E-01  -7.83885E-01   1.10169E-01  -1.53478E+00   1.10429E-01
 -6.49950E-01   1.98833E-01  -7.61321E-01   1.18176E-01  -1.50113E+00   1.16413E-01
 -6.12274E-01   1.99444E-01  -7.38731E-01   1.28235E-01  -1.46748E+00   1.21910E-01
 -5.74598E-01   2.00323E-01  -7.16167E-01   1.38773E-01  -1.43383E+00   1.28143E-01
 -5.36921E-01   2.00323E-01  -6.93603E-01   1.49229E-01  -1.40019E+00   1.35026E-01
 -4.99245E-01   2.00024E-01  -6.71040E-01   1.62074E-01  -1.36654E+00   1.41130E-01
 -4.61542E-01   2.00331E-01  -6.48450E-01   1.76447E-01  -1.33289E+00   1.48414E-01
 -4.23866E-01   2.01338E-01  -6.25886E-01   1.91210E-01  -1.29924E+00   1.55847E-01
 -3.86189E-01   2.01408E-01  -6.03322E-01   2.07096E-01  -1.26559E+00   1.63175E-01
 -3.48513E-01   2.01894E-01  -5.80732E-01   2.26158E-01  -1.23197E+00   1.71186E-01
 -3.10810E-01   2.01719E-01  -5.58169E-01   2.45632E-01  -1.19832E+00   1.78618E-01
 -2.73134E-01   2.00891E-01  -5.35605E-01   2.66334E-01  -1.16468E+00   1.85779E-01
 -2.35460E-01   2.00654E-01  -5.13041E-01   2.91410E-01  -1.13103E+00   1.94449E-01
 -1.97779E-01   2.01187E-01  -4.90451E-01   3.18314E-01  -1.09738E+00   2.03259E-01
 -1.60097E-01   2.01120E-01  -4.67887E-01   3.47143E-01  -1.06373E+00   2.11284E-01
 -1.22415E-01   2.01467E-01  -4.45324E-01   3.81035E-01  -1.03008E+00   2.19601E-01
 -8.47337E-02   2.01579E-01  -4.22734E-01   4.15039E-01  -9.96436E-01   2.29729E-01
 -4.70520E-02   2.01245E-01  -4.00170E-01   4.52189E-01  -9.62788E-01   2.39475E-01
 -9.36933E-03   2.00553E-01  -3.77606E-01   4.91458E-01  -9.29140E-01   2.49040E-01
  2.83113E-02   1.99845E-01  -3.55043E-01   5.35934E-01  -8.95492E-01   2.57582E-01
  6.59929E-02   2.00043E-01  -3.32453E-01   5.81869E-01  -8.61844E-01   2.66534E-01
  1.03675E-01   1.99779E-01  -3.09889E-01   6.32718E-01  -8.28222E-01   2.77083E-01
  1.41356E-01   1.99285E-01  -2.87325E-01   6.88803E-01  -7.94574E-01   2.86772E-01
  1.79040E-01   1.98211E-01  -2.64735E-01   7.44505E-01  -7.60926E-01   2.94807E-01
  2.16722E-01   1.97445E-01  -2.42171E-01   8.07113E-01  -7.27278E-01   3.04677E-01
  2.54404E-01   1.96433E-01  -2.19602E-01   8.69504E-01  -6.93630E-01   3.13769E-01
  2.92091E-01   1.96017E-01  -1.97031E-01   9.30772E-01  -6.59982E-01   3.21952E-01
  3.29767E-01   1.95827E-01  -1.74459E-01   9.93537E-01  -6.26334E-01   3.30130E-01
  3.67443E-01   1.95317E-01  -1.51888E-01   1.05548E+00  -5.92685E-01   3.38705E-01
  4.05120E-01   1.93707E-01  -1.29316E-01   1.11420E+00  -5.59037E-01   3.47352E-01
  4.42822E-01   1.93236E-01  -1.06744E-01   1.16573E+00  -5.25389E-01   3.55086E-01
  4.80499E-01   1.92447E-01  -8.41729E-02   1.21104E+00  -4.91741E-01   3.63082E-01
  5.18175E-01   1.91334E-01  -6.16013E-02   1.25142E+00  -4.58093E-01   3.69817E-01
  5.55852E-01   1.90412E-01  -3.90297E-02   1.28205E+00  -4.24445E-01   3.76825E-01
  5.93528E-01   1.89067E-01  -1.64583E-02   1.29785E+00  -3.90823E-01   3.83722E-01
  6.31231E-01   1.88250E-01   6.11300E-03   1.30160E+00  -3.57175E-01   3.90581E-01
  6.68907E-01   1.87094E-01   2.86851E-02   1.29516E+00  -3.23527E-01   3.96231E-01
  7.06583E-01   1.85951E-01   5.12567E-02   1.27688E+00  -2.89879E-01   4.02091E-01
  7.44260E-01   1.84940E-01   7.38283E-02   1.24760E+00  -2.56228E-01   4.06187E-01
  7.81936E-01   1.82730E-01   9.63999E-02   1.21367E+00  -2.22583E-01   4.10045E-01
  8.19639E-01   1.80525E-01   1.18969E-01   1.17270E+00  -1.88935E-01   4.12994E-01
  8.57315E-01   1.79113E-01   1.41540E-01   1.12611E+00  -1.55289E-01   4.15986E-01
  8.94992E-01   1.77915E-01   1.64112E-01   1.07001E+00  -1.21644E-01   4.18811E-01
  9.32668E-01   1.76647E-01   1.86684E-01   1.01503E+00  -8.79984E-02   4.22056E-01
  9.70344E-01   1.75441E-01   2.09255E-01   9.56238E-01  -5.43530E-02   4.23094E-01
  1.00805E+00   1.73687E-01   2.31827E-01   8.95494E-01  -2.07059E-02   4.23165E-01
  1.04572E+00   1.71797E-01   2.54398E-01   8.35800E-01   1.29400E-02   4.22893E-01
  1.08340E+00   1.70793E-01   2.76978E-01   7.78352E-01   4.65860E-02   4.22515E-01
  1.12108E+00   1.68946E-01   2.99542E-01   7.22410E-01   8.02315E-02   4.21660E-01
  1.15875E+00   1.67079E-01   3.22105E-01   6.67509E-01   1.13877E-01   4.19380E-01
  1.19646E+00   1.65379E-01   3.44695E-01   6.16053E-01   1.47525E-01   4.17654E-01
  1.23413E+00   1.63788E-01   3.67259E-01   5.67159E-01   1.81170E-01   4.14442E-01
