# PDF of fluctuation velocity in a channel at Re_tau = 391.68 at different channel heights
# Normalization is by u_tau
# STRAIN TIME = 0.0 (unstrained)
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -3.47565E-01   1.28433E-01  -1.23524E+00   1.63322E-02  -1.31167E+00   1.46281E-01
 -3.02596E-01   1.28229E-01  -1.21083E+00   1.75056E-02  -1.27463E+00   1.54174E-01
 -2.57592E-01   1.28579E-01  -1.18642E+00   1.88590E-02  -1.23761E+00   1.62325E-01
 -2.12599E-01   1.28966E-01  -1.16199E+00   2.03216E-02  -1.20056E+00   1.71215E-01
 -1.67609E-01   1.28988E-01  -1.13758E+00   2.19746E-02  -1.16352E+00   1.80001E-01
 -1.22615E-01   1.28884E-01  -1.11318E+00   2.35424E-02  -1.12650E+00   1.89151E-01
 -7.76249E-02   1.28924E-01  -1.08877E+00   2.54746E-02  -1.08946E+00   1.98264E-01
 -3.26318E-02   1.28865E-01  -1.06436E+00   2.72308E-02  -1.05241E+00   2.08028E-01
  1.23587E-02   1.28856E-01  -1.03993E+00   2.93139E-02  -1.01539E+00   2.18840E-01
  5.73492E-02   1.28882E-01  -1.01552E+00   3.18851E-02  -9.78348E-01   2.29890E-01
  1.02342E-01   1.28781E-01  -9.91118E-01   3.42056E-02  -9.41304E-01   2.39565E-01
  1.47333E-01   1.28422E-01  -9.66711E-01   3.74072E-02  -9.04286E-01   2.50174E-01
  1.92326E-01   1.28375E-01  -9.42304E-01   4.08231E-02  -8.67241E-01   2.60787E-01
  2.37316E-01   1.28652E-01  -9.17871E-01   4.40915E-02  -8.30197E-01   2.71106E-01
  2.82296E-01   1.28870E-01  -8.93465E-01   4.78243E-02  -7.93152E-01   2.81674E-01
  3.27292E-01   1.28957E-01  -8.69058E-01   5.18296E-02  -7.56134E-01   2.93557E-01
  3.72288E-01   1.28770E-01  -8.44651E-01   5.66671E-02  -7.19090E-01   3.04474E-01
  4.17284E-01   1.28456E-01  -8.20244E-01   6.15753E-02  -6.82045E-01   3.14125E-01
  4.62279E-01   1.28517E-01  -7.95811E-01   6.69823E-02  -6.45027E-01   3.23481E-01
  5.07275E-01   1.28131E-01  -7.71405E-01   7.38684E-02  -6.07982E-01   3.33726E-01
  5.52271E-01   1.27722E-01  -7.46998E-01   8.14557E-02  -5.70938E-01   3.44558E-01
  5.97240E-01   1.27731E-01  -7.22591E-01   8.93009E-02  -5.33920E-01   3.55013E-01
  6.42236E-01   1.27534E-01  -6.98185E-01   9.78011E-02  -4.96875E-01   3.64789E-01
  6.87232E-01   1.27344E-01  -6.73778E-01   1.07419E-01  -4.59831E-01   3.73923E-01
  7.32228E-01   1.27092E-01  -6.49345E-01   1.18645E-01  -4.22813E-01   3.82931E-01
  7.77223E-01   1.26834E-01  -6.24938E-01   1.31649E-01  -3.85768E-01   3.91717E-01
  8.22219E-01   1.26624E-01  -6.00531E-01   1.45699E-01  -3.48724E-01   3.99605E-01
  8.67189E-01   1.26353E-01  -5.76125E-01   1.61476E-01  -3.11679E-01   4.07065E-01
  9.12184E-01   1.26224E-01  -5.51718E-01   1.78827E-01  -2.74661E-01   4.13372E-01
  9.57180E-01   1.25846E-01  -5.27285E-01   1.99333E-01  -2.37619E-01   4.19396E-01
  1.00218E+00   1.25213E-01  -5.02878E-01   2.23543E-01  -2.00583E-01   4.24369E-01
  1.04717E+00   1.25168E-01  -4.78472E-01   2.51987E-01  -1.63546E-01   4.28857E-01
  1.09217E+00   1.25132E-01  -4.54065E-01   2.82052E-01  -1.26509E-01   4.32658E-01
  1.13716E+00   1.25076E-01  -4.29658E-01   3.17462E-01  -8.94728E-02   4.36095E-01
  1.18213E+00   1.24863E-01  -4.05225E-01   3.58057E-01  -5.24389E-02   4.37388E-01
  1.22713E+00   1.23964E-01  -3.80818E-01   4.05949E-01  -1.54012E-02   4.38399E-01
  1.27212E+00   1.23331E-01  -3.56412E-01   4.60277E-01   2.16351E-02   4.39046E-01
  1.31712E+00   1.23149E-01  -3.32005E-01   5.21511E-01   5.86709E-02   4.38237E-01
  1.36212E+00   1.22983E-01  -3.07598E-01   5.91384E-01   9.57075E-02   4.36418E-01
  1.40711E+00   1.22297E-01  -2.83165E-01   6.72800E-01   1.32744E-01   4.33830E-01
  1.45211E+00   1.21362E-01  -2.58764E-01   7.64085E-01   1.69781E-01   4.30434E-01
  1.49708E+00   1.20827E-01  -2.34354E-01   8.62912E-01   2.06817E-01   4.26108E-01
  1.54207E+00   1.20233E-01  -2.09942E-01   9.73446E-01   2.43854E-01   4.20609E-01
  1.58707E+00   1.20082E-01  -1.85530E-01   1.09245E+00   2.80901E-01   4.13332E-01
  1.63206E+00   1.19567E-01  -1.61119E-01   1.22005E+00   3.17919E-01   4.06296E-01
  1.67706E+00   1.18648E-01  -1.36707E-01   1.34666E+00   3.54964E-01   3.99670E-01
  1.72206E+00   1.17954E-01  -1.12295E-01   1.46202E+00   3.92008E-01   3.92384E-01
  1.76702E+00   1.17197E-01  -8.78826E-02   1.56151E+00   4.29026E-01   3.84819E-01
  1.81202E+00   1.16444E-01  -6.34706E-02   1.63613E+00   4.66071E-01   3.76563E-01
  1.85702E+00   1.15820E-01  -3.90586E-02   1.67806E+00   5.03115E-01   3.65804E-01
  1.90201E+00   1.14909E-01  -1.46472E-02   1.68243E+00   5.40133E-01   3.55527E-01
  1.94701E+00   1.13991E-01   9.76479E-03   1.65160E+00   5.77178E-01   3.47036E-01
  1.99200E+00   1.13072E-01   3.41773E-02   1.59333E+00   6.14222E-01   3.35913E-01
  2.03700E+00   1.12660E-01   5.85893E-02   1.51309E+00   6.51241E-01   3.25009E-01
  2.08197E+00   1.11997E-01   8.30012E-02   1.42094E+00   6.88285E-01   3.14808E-01
  2.12696E+00   1.11008E-01   1.07411E-01   1.32159E+00   7.25329E-01   3.03127E-01
  2.17196E+00   1.10103E-01   1.31823E-01   1.22031E+00   7.62374E-01   2.92789E-01
  2.21696E+00   1.08835E-01   1.56235E-01   1.11924E+00   7.99392E-01   2.82054E-01
  2.26195E+00   1.07897E-01   1.80647E-01   1.02114E+00   8.36437E-01   2.70248E-01
  2.30695E+00   1.07048E-01   2.05058E-01   9.29457E-01   8.73481E-01   2.59482E-01
  2.35192E+00   1.05771E-01   2.29470E-01   8.43001E-01   9.10499E-01   2.48541E-01
  2.39691E+00   1.04544E-01   2.53882E-01   7.59455E-01   9.47544E-01   2.37636E-01
  2.44191E+00   1.03231E-01   2.78294E-01   6.84376E-01   9.84588E-01   2.28200E-01
  2.48690E+00   1.02290E-01   3.02701E-01   6.14172E-01   1.02161E+00   2.18124E-01
  2.53190E+00   1.01385E-01   3.27108E-01   5.51318E-01   1.05865E+00   2.07943E-01
  2.57690E+00   1.00209E-01   3.51541E-01   4.95018E-01   1.09570E+00   1.98078E-01
  2.62189E+00   9.89290E-02   3.75948E-01   4.43912E-01   1.13271E+00   1.88302E-01
  2.66683E+00   9.76491E-02   4.00354E-01   3.99069E-01   1.16976E+00   1.79067E-01
  2.71186E+00   9.65093E-02   4.24761E-01   3.57495E-01   1.20680E+00   1.70690E-01
  2.75688E+00   9.50529E-02   4.49168E-01   3.20729E-01   1.24385E+00   1.62195E-01
  2.80190E+00   9.41455E-02   4.73601E-01   2.88409E-01   1.28087E+00   1.53110E-01
  2.84692E+00   9.30953E-02   4.98007E-01   2.57782E-01   1.31791E+00   1.44992E-01
  2.89194E+00   9.15998E-02   5.22414E-01   2.31845E-01   1.35495E+00   1.37403E-01
  2.93670E+00   9.03507E-02   5.46821E-01   2.09831E-01   1.39197E+00   1.30080E-01
  2.98173E+00   8.92304E-02   5.71228E-01   1.88862E-01   1.42902E+00   1.23066E-01
  3.02675E+00   8.79842E-02   5.95661E-01   1.70221E-01   1.46606E+00   1.16152E-01
  3.07177E+00   8.66063E-02   6.20067E-01   1.54047E-01   1.50308E+00   1.09707E-01
  3.11679E+00   8.52536E-02   6.44474E-01   1.38536E-01   1.54012E+00   1.02967E-01
  3.16181E+00   8.40521E-02   6.68881E-01   1.25008E-01   1.57717E+00   9.70882E-02
  3.20684E+00   8.28310E-02   6.93287E-01   1.12453E-01   1.61419E+00   9.16583E-02
  3.25186E+00   8.12711E-02   7.17694E-01   1.01929E-01   1.65123E+00   8.68955E-02
  3.29688E+00   7.97336E-02   7.42127E-01   9.18543E-02   1.68828E+00   8.16232E-02
  3.34164E+00   7.81708E-02   7.66534E-01   8.30234E-02   1.72532E+00   7.63469E-02
  3.38666E+00   7.64764E-02   7.90941E-01   7.57867E-02   1.76234E+00   7.21299E-02
  3.43168E+00   7.56139E-02   8.15347E-01   6.91255E-02   1.79938E+00   6.76541E-02
  3.47671E+00   7.44040E-02   8.39754E-01   6.30081E-02   1.83643E+00   6.36312E-02
  3.52173E+00   7.28384E-02   8.64187E-01   5.69231E-02   1.87345E+00   6.00004E-02
  3.56675E+00   7.16790E-02   8.88594E-01   5.21478E-02   1.91049E+00   5.63454E-02
  3.61177E+00   7.04467E-02   9.13000E-01   4.72852E-02   1.94753E+00   5.28359E-02
  3.65679E+00   6.88812E-02   9.37407E-01   4.29829E-02   1.98455E+00   4.97712E-02
