#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2
     0.6719053     0.2517923     1.2130243    -0.0587250     0.0000005     0.0000185     0.0000239     0.0000050    -0.0000023     0.0000000    -0.0000000

     0.6315762     0.1208295     0.4815820    -0.0726340     0.0000890     0.0269353     0.0097401     0.0157363    -0.0047352    -0.0000359     0.0000955
     0.6326262     0.1243592     0.9428214    -0.1225542     0.0001664     0.0162143     0.0047316     0.0065818    -0.0038451    -0.0000358     0.0000067
     0.6339941     0.1273788     1.0464008    -0.1269495     0.0000620     0.0089562     0.0031459     0.0046127    -0.0020819    -0.0000258    -0.0000052
     0.6355450     0.1302651     1.0906533    -0.1265446     0.0004133     0.0056274     0.0024896     0.0037079    -0.0013405    -0.0000349     0.0000049
     0.6372463     0.1332177     1.1110524    -0.1243031     0.0008824     0.0041918     0.0022471     0.0032584    -0.0010044    -0.0000300     0.0000035
     0.6391022     0.1363349     1.1211788    -0.1212022     0.0010060     0.0036101     0.0022288     0.0029581    -0.0008859    -0.0000235     0.0000051
     0.6411276     0.1396745     1.1268765    -0.1178113     0.0010119     0.0033464     0.0022940     0.0027506    -0.0008666    -0.0000280     0.0000090
     0.6432995     0.1432866     1.1314552    -0.1143046     0.0011400     0.0032108     0.0023353     0.0026191    -0.0008920    -0.0000183     0.0000127
     0.6456124     0.1472084     1.1366447    -0.1108287     0.0014388     0.0031290     0.0023164     0.0024749    -0.0009265    -0.0000057     0.0000071
