variables="x","y","mut"
zone, t="CFL3D"
 7.500000000E-01 1.051264033E-01 2.041677237E-01
 7.500000000E-01 1.062494889E-01 2.042677402E-01
 7.500000000E-01 1.073954627E-01 2.043660432E-01
 7.500000000E-01 1.085647792E-01 2.044626921E-01
 7.500000000E-01 1.097579151E-01 2.045577615E-01
 7.500000000E-01 1.109753624E-01 2.046513259E-01
 7.500000000E-01 1.122176126E-01 2.047434300E-01
 7.500000000E-01 1.134851724E-01 2.048341334E-01
 7.500000000E-01 1.147785485E-01 2.049234957E-01
 7.500000000E-01 1.160982847E-01 2.050115466E-01
 7.500000000E-01 1.174449027E-01 2.050983459E-01
 7.500000000E-01 1.188189536E-01 2.051839381E-01
 7.500000000E-01 1.202210039E-01 2.052683681E-01
 7.500000000E-01 1.216516122E-01 2.053516805E-01
 7.500000000E-01 1.231113747E-01 2.054338902E-01
 7.500000000E-01 1.246008649E-01 2.055150568E-01
 7.500000000E-01 1.261207163E-01 2.055951804E-01
 7.500000000E-01 1.276715100E-01 2.056743354E-01
 7.500000000E-01 1.292539090E-01 2.057525069E-01
 7.500000000E-01 1.308685541E-01 2.058297545E-01
 7.500000000E-01 1.325160861E-01 2.059060931E-01
 7.500000000E-01 1.341971904E-01 2.059815377E-01
 7.500000000E-01 1.359125376E-01 2.060561329E-01
 7.500000000E-01 1.376628280E-01 2.061298639E-01
 7.500000000E-01 1.394487768E-01 2.062027752E-01
 7.500000000E-01 1.412711143E-01 2.062748820E-01
 7.500000000E-01 1.431305856E-01 2.063461989E-01
 7.500000000E-01 1.450279355E-01 2.064167261E-01
 7.500000000E-01 1.469639242E-01 2.064865083E-01
 7.500000000E-01 1.489393711E-01 2.065555304E-01
 7.500000000E-01 1.509550661E-01 2.066238075E-01
 7.500000000E-01 1.530118138E-01 2.066913545E-01
 7.500000000E-01 1.551104784E-01 2.067582011E-01
 7.500000000E-01 1.572518945E-01 2.068243176E-01
 7.500000000E-01 1.594369262E-01 2.068897486E-01
 7.500000000E-01 1.616664827E-01 2.069544643E-01
 7.500000000E-01 1.639414728E-01 2.070185095E-01
 7.500000000E-01 1.662627906E-01 2.070818543E-01
 7.500000000E-01 1.686314195E-01 2.071445286E-01
 7.500000000E-01 1.710482836E-01 2.072065175E-01
 7.500000000E-01 1.735143960E-01 2.072678506E-01
 7.500000000E-01 1.760307550E-01 2.073284984E-01
 7.500000000E-01 1.785983741E-01 2.073884904E-01
 7.500000000E-01 1.812183112E-01 2.074477971E-01
 7.500000000E-01 1.838916242E-01 2.075064629E-01
 7.500000000E-01 1.866193861E-01 2.075644433E-01
 7.500000000E-01 1.894027293E-01 2.076217681E-01
 7.500000000E-01 1.922427863E-01 2.076784372E-01
 7.500000000E-01 1.951406896E-01 2.077344358E-01
