TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.300961606E+00    0.116481739E-01
    0.303026500E+00    0.117815140E-01
    0.305075923E+00    0.119148541E-01
    0.306833637E+00    0.120291100E-01
    0.306833724E+00    0.120291219E-01
    0.306833893E+00    0.120291333E-01
    0.308545070E+00    0.121481032E-01
    0.310540374E+00    0.122869720E-01
    0.312521865E+00    0.124258408E-01
    0.314221359E+00    0.125448340E-01
    0.315879487E+00    0.126687607E-01
    0.317812787E+00    0.128134015E-01
    0.319733949E+00    0.129580133E-01
    0.321381653E+00    0.130819400E-01
    0.322992895E+00    0.132110041E-01
    0.324871577E+00    0.133616260E-01
    0.326739732E+00    0.135122479E-01
    0.328341935E+00    0.136413120E-01
    0.329912343E+00    0.137757277E-01
    0.331743477E+00    0.139325950E-01
    0.333565664E+00    0.140894623E-01
    0.335128388E+00    0.142238780E-01
    0.336663575E+00    0.143638663E-01
    0.338453669E+00    0.145272370E-01
    0.340236244E+00    0.146906077E-01
    0.341764992E+00    0.148305960E-01
    0.343270219E+00    0.149763881E-01
    0.345025458E+00    0.151465320E-01
    0.346774522E+00    0.153166759E-01
    0.348274503E+00    0.154624680E-01
    0.349754665E+00    0.156143048E-01
    0.351480744E+00    0.157915030E-01
    0.353201907E+00    0.159687012E-01
    0.354677896E+00    0.161205380E-01
    0.356137204E+00    0.162786695E-01
    0.357838988E+00    0.164632140E-01
    0.359537006E+00    0.166477585E-01
    0.360993134E+00    0.168058900E-01
    0.362435713E+00    0.169705780E-01
    0.364118006E+00    0.171627740E-01
    0.365797610E+00    0.173549700E-01
    0.367237895E+00    0.175196580E-01
    0.368667168E+00    0.176911738E-01
    0.370334006E+00    0.178913380E-01
    0.371999159E+00    0.180915022E-01
    0.373426979E+00    0.182630180E-01
    0.374846176E+00    0.184416449E-01
    0.376501255E+00    0.186501080E-01
    0.378155449E+00    0.188585711E-01
    0.379573878E+00    0.190371980E-01
    0.380985773E+00    0.192232304E-01
    0.382632357E+00    0.194403360E-01
    0.384278942E+00    0.196574416E-01
    0.385690800E+00    0.198434740E-01
    0.387097764E+00    0.200372197E-01
    0.388738611E+00    0.202633270E-01
    0.390380182E+00    0.204894343E-01
    0.391787685E+00    0.206831800E-01
    0.393191993E+00    0.208849584E-01
    0.394829730E+00    0.211204400E-01
    0.396468715E+00    0.213559216E-01
    0.397874059E+00    0.215577000E-01
    0.399277553E+00    0.217678446E-01
    0.400914469E+00    0.220130900E-01
    0.402553166E+00    0.222583353E-01
    0.403958227E+00    0.224684800E-01
    0.405362446E+00    0.226873370E-01
    0.405362680E+00    0.226873881E-01
    0.407000382E+00    0.229427755E-01
    0.408640312E+00    0.231981630E-01
    0.408640546E+00    0.231981849E-01
    0.410046609E+00    0.234170200E-01
    0.410046679E+00    0.234170428E-01
    0.410046817E+00    0.234170647E-01
    0.411452993E+00    0.236449493E-01
    0.411453392E+00    0.236450025E-01
    0.413093690E+00    0.239109766E-01
    0.414736926E+00    0.241769507E-01
