TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, diagonal cut (y=z)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 diagonal cut"
    0.857769977E-02    0.236778870E+00
    0.895806029E-02    0.246623501E+00
    0.933841988E-02    0.256383777E+00
    0.975096039E-02    0.265488863E+00
    0.101635205E-01    0.274506420E+00
    0.106109800E-01    0.282902032E+00
    0.110584404E-01    0.291216254E+00
    0.115437796E-01    0.298983544E+00
    0.120291198E-01    0.306685180E+00
    0.125555200E-01    0.313931584E+00
    0.130819399E-01    0.321122497E+00
    0.136529002E-01    0.327954441E+00
    0.142238801E-01    0.334745526E+00
    0.148431798E-01    0.341262311E+00
    0.154624600E-01    0.347749919E+00
    0.161341801E-01    0.354039043E+00
    0.168059003E-01    0.360310674E+00
    0.175344609E-01    0.366442204E+00
    0.182630196E-01    0.372567922E+00
    0.190532394E-01    0.378603160E+00
    0.198434796E-01    0.384638399E+00
    0.207006000E-01    0.390624017E+00
    0.215575993E-01    0.396612555E+00
    0.224874001E-01    0.402583599E+00
    0.234169997E-01    0.408563405E+00
    0.244254004E-01    0.414543152E+00
    0.254335999E-01    0.420540452E+00
    0.265273992E-01    0.426552355E+00
    0.276209991E-01    0.432581753E+00
    0.288073998E-01    0.438640356E+00
    0.299935993E-01    0.444719344E+00
    0.312802009E-01    0.450833410E+00
    0.325668007E-01    0.456970781E+00
    0.339623988E-01    0.463146090E+00
    0.353580005E-01    0.469344765E+00
    0.368716009E-01    0.475587189E+00
    0.383853987E-01    0.481855929E+00
    0.400272012E-01    0.488165468E+00
    0.416689999E-01    0.494501293E+00
    0.434495993E-01    0.500880897E+00
    0.452303998E-01    0.507283866E+00
    0.471617989E-01    0.513730586E+00
    0.490933992E-01    0.520203590E+00
    0.511882007E-01    0.526714563E+00
    0.532831997E-01    0.533254623E+00
    0.555553995E-01    0.539829791E+00
    0.578278005E-01    0.546431184E+00
    0.602924004E-01    0.553064704E+00
    0.627567992E-01    0.559727430E+00
    0.654300004E-01    0.566419303E+00
    0.681032017E-01    0.573137403E+00
    0.710026026E-01    0.579881787E+00
    0.739020035E-01    0.586652517E+00
    0.770467967E-01    0.593443573E+00
    0.801917985E-01    0.600263834E+00
    0.836028010E-01    0.607098758E+00
    0.870138034E-01    0.613962829E+00
    0.907133967E-01    0.620832741E+00
    0.944131985E-01    0.627734721E+00
    0.984259993E-01    0.634633779E+00
    0.102438800E+00    0.641570806E+00
    0.106791198E+00    0.648496151E+00
    0.111143798E+00    0.655459464E+00
    0.115864597E+00    0.662402332E+00
    0.120585397E+00    0.669383109E+00
    0.125706002E+00    0.676340520E+00
    0.130826399E+00    0.683335960E+00
    0.136380196E+00    0.690293372E+00
    0.141934007E+00    0.697294593E+00
    0.147957802E+00    0.704249144E+00
    0.153981805E+00    0.711244524E+00
    0.160515398E+00    0.718184471E+00
    0.167049199E+00    0.725165307E+00
    0.174135998E+00    0.732081890E+00
    0.181222603E+00    0.739042282E+00
    0.188909203E+00    0.745920837E+00
    0.196595803E+00    0.752846241E+00
    0.204932004E+00    0.759678185E+00
    0.213269994E+00    0.766559780E+00
    0.222312003E+00    0.773327529E+00
    0.231355995E+00    0.780150712E+00
    0.241163999E+00    0.786845565E+00
    0.250972003E+00    0.793595791E+00
    0.261610001E+00    0.800200105E+00
    0.272248000E+00    0.806871533E+00
    0.283785999E+00    0.813373744E+00
    0.295325995E+00    0.819945931E+00
    0.307839990E+00    0.826334298E+00
    0.320356011E+00    0.832804382E+00
    0.333929986E+00    0.839073062E+00
    0.347505987E+00    0.845435142E+00
    0.362228006E+00    0.851578355E+00
    0.376951992E+00    0.857838333E+00
    0.392922014E+00    0.863864779E+00
    0.408892006E+00    0.870037258E+00
    0.426212013E+00    0.875973225E+00
    0.443533987E+00    0.882087290E+00
    0.481110007E+00    0.894078970E+00
    0.501486003E+00    0.899974108E+00
    0.521863997E+00    0.906146526E+00
    0.543965995E+00    0.912129164E+00
    0.566067994E+00    0.918450475E+00
    0.590041995E+00    0.924608290E+00
    0.614014029E+00    0.931165934E+00
    0.640016019E+00    0.937554240E+00
    0.666018009E+00    0.944397926E+00
    0.694220007E+00    0.951011002E+00
    0.722423971E+00    0.958108485E+00
    0.753014028E+00    0.964788735E+00
    0.783601999E+00    0.971941710E+00
    0.849960029E+00    0.984975278E+00
    0.921934009E+00    0.995335519E+00
    0.100000000E+01    0.999999106E+00
ZONE T="FUN3D, grid 3 diagonal cut"
    0.361733983E-04    0.793514482E-05
    0.723470002E-04    0.187580481E-04
    0.114902999E-03    0.529721947E-04
    0.157458999E-03    0.913562035E-04
    0.207524005E-03    0.167127218E-03
    0.257587992E-03    0.248790399E-03
    0.316485995E-03    0.387944630E-03
    0.375383999E-03    0.535371597E-03
    0.444673991E-03    0.769181410E-03
    0.513963983E-03    0.101457338E-02
    0.595480029E-03    0.138766796E-02
    0.676993979E-03    0.177695649E-02
    0.772891974E-03    0.235277042E-02
    0.868790026E-03    0.295119174E-02
    0.981610036E-03    0.381956855E-02
    0.109442801E-02    0.471948739E-02
    0.122715195E-02    0.600733049E-02
    0.135987601E-02    0.733910548E-02
    0.151601795E-02    0.922520459E-02
    0.167216000E-02    0.111725498E-01
    0.185585197E-02    0.139083387E-01
    0.203954009E-02    0.167295728E-01
    0.225563999E-02    0.206682552E-01
    0.247173989E-02    0.247261096E-01
    0.272598001E-02    0.303614046E-01
    0.298021990E-02    0.361626297E-01
    0.327929994E-02    0.441724062E-01
    0.357837998E-02    0.524113104E-01
    0.393023994E-02    0.636607334E-01
    0.428210013E-02    0.752162561E-01
    0.469603995E-02    0.905536562E-01
    0.510997977E-02    0.106255442E+00
    0.559695996E-02    0.125766516E+00
    0.608394016E-02    0.145597965E+00
    0.665683998E-02    0.167581126E+00
    0.722973980E-02    0.189687565E+00
    0.790372025E-02    0.211179525E+00
    0.857769977E-02    0.232580513E+00
    0.937059987E-02    0.251563907E+00
    0.101635205E-01    0.270371854E+00
    0.110963201E-01    0.286596328E+00
    0.120291198E-01    0.302666604E+00
    0.131265000E-01    0.316802353E+00
    0.142238801E-01    0.330838978E+00
    0.155148804E-01    0.343692064E+00
    0.168059003E-01    0.356492668E+00
    0.183246806E-01    0.368689805E+00
    0.198434796E-01    0.380875319E+00
    0.216301996E-01    0.392842144E+00
    0.234169997E-01    0.404823571E+00
    0.255190004E-01    0.416819572E+00
    0.276209991E-01    0.428844750E+00
    0.300939996E-01    0.441012740E+00
    0.325668007E-01    0.453218639E+00
    0.354762003E-01    0.465631515E+00
    0.383853987E-01    0.478085190E+00
    0.418078005E-01    0.490769208E+00
    0.452303998E-01    0.503496885E+00
    0.492568016E-01    0.516449094E+00
    0.532831997E-01    0.529450834E+00
    0.580199994E-01    0.542656660E+00
    0.627567992E-01    0.555914938E+00
    0.683294013E-01    0.569351017E+00
    0.739020035E-01    0.582842529E+00
    0.804577991E-01    0.596476853E+00
    0.870138034E-01    0.610169530E+00
    0.947261974E-01    0.623964190E+00
    0.102438800E+00    0.637820125E+00
    0.111512199E+00    0.651728451E+00
    0.120585397E+00    0.665706813E+00
    0.131259799E+00    0.679682255E+00
    0.141934007E+00    0.693727553E+00
    0.154491603E+00    0.707702994E+00
    0.167049199E+00    0.721760094E+00
    0.181822404E+00    0.735665500E+00
    0.196595803E+00    0.749658406E+00
    0.213975996E+00    0.763397694E+00
    0.231355995E+00    0.777238965E+00
    0.251801997E+00    0.790710092E+00
    0.272248000E+00    0.804300725E+00
    0.296301991E+00    0.817389906E+00
    0.320356011E+00    0.830624878E+00
    0.348654002E+00    0.843244731E+00
    0.376951992E+00    0.856062770E+00
    0.410243988E+00    0.868230820E+00
    0.443533987E+00    0.880696177E+00
    0.482699990E+00    0.892651319E+00
    0.521863997E+00    0.905075908E+00
    0.567939997E+00    0.917351782E+00
    0.614014029E+00    0.930333078E+00
    0.668218017E+00    0.943451464E+00
    0.722423971E+00    0.957479358E+00
    0.786192000E+00    0.970580220E+00
    0.849960029E+00    0.984541058E+00
    0.100000000E+01    0.100000024E+01
