TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, vertical cut (y=0.5)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 vertical cut"
    0.492568016E-01    0.627622783E+00
    0.580199994E-01    0.642665148E+00
    0.683294013E-01    0.658019423E+00
    0.804577991E-01    0.673773110E+00
    0.947261974E-01    0.690013647E+00
    0.111512199E+00    0.706848860E+00
    0.131259799E+00    0.724395394E+00
    0.154491603E+00    0.742784441E+00
    0.181822404E+00    0.762152910E+00
    0.213975996E+00    0.782643795E+00
    0.251801997E+00    0.804402769E+00
    0.296301991E+00    0.827552259E+00
    0.348654002E+00    0.852162302E+00
    0.410243988E+00    0.878180325E+00
    0.482699990E+00    0.905314922E+00
    0.567939997E+00    0.932831407E+00
    0.668218017E+00    0.959181845E+00
    0.786192000E+00    0.981567562E+00
    0.924979985E+00    0.995662510E+00
